AtomicNumber,Symbol,ElementName,AtomicWeight,Ka1,Ka2,Kb1,Kb2,Kb3,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Ll,Ma1,Ma2,Mb,Mg
1.00,H,Hydrogen,1.00,0.01,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2.00,He,Helium,4.00,0.02,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
3.00,Li,Lithium,6.94,0.05,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
4.00,Be,Beryllium,9.01,0.11,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
5.00,B,Boron,10.81,0.18,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
6.00,C,Carbon,12.01,0.28,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
7.00,N,Nitrogen,14.00,0.39,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
8.00,O,Oxygen,15.99,0.52,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
9.00,F,Fluorine,18.99,0.68,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
10.00,Ne,Neon,20.18,0.85,0.85,0.86,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
11.00,Na,Sodium,22.99,1.04,1.04,1.07,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
12.00,Mg,Magnesium,24.30,1.25,1.25,1.30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
13.00,Al,Aluminum,36.98,1.49,1.49,1.56,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
14.00,Si,Silicon,28.08,1.74,1.74,1.84,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.06,,,,
15.00,P,Phosphorus,30.97,2.01,2.01,2.14,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.10,,,,
16.00,S,Sulfur,32.06,2.31,2.31,2.46,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,,,,
17.00,Cl,Chlorine,35.45,2.62,2.62,2.82,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,,,,
18.00,Ar,Argon,39.94,2.96,2.96,3.19,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,,,,
19.00,K,Potassium,39.09,3.31,3.31,3.59,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,,,,
20.00,Ca,Calcium,40.08,3.69,3.69,4.01,0.00,0.00,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.31,0.30,,,,
21.00,Sc,Scandium,44.95,4.09,4.09,4.46,0.00,0.00,0.40,0.40,0.40,0.00,0.46,0.46,0.00,0.00,0.35,0.35,,,,
22.00,Ti,Titanium,47.88,4.51,4.50,4.93,0.00,0.00,0.45,0.45,0.46,0.00,0.52,0.52,0.00,0.00,0.40,0.40,,,,
23.00,V,Vanadium,50.94,4.95,4.94,5.43,0.00,0.00,0.51,0.51,0.52,0.00,0.59,0.59,0.00,0.00,0.45,0.45,,,,
24.00,Cr,Chromium,51.99,5.41,5.41,5.95,0.00,0.00,0.57,0.57,0.58,0.00,0.65,0.65,0.00,0.00,0.51,0.50,,,,
25.00,Mn,Manganese,54.93,5.90,5.89,6.49,0.00,0.00,0.64,0.64,0.65,0.00,0.72,0.72,0.00,0.00,0.57,0.55,,,,
