ElementName,Symbol,Ka1,Ka2,Kb1,Kb2,Kb3
Hydrogen,H ,0.01,0.00,0.00,0.00,0.00
Helium,He,0.02,0.00,0.00,0.00,0.00
Lithium,Li,0.05,0.00,0.00,0.00,0.00
Beryllium,Be,0.11,0.00,0.00,0.00,0.00
Boron,B ,0.18,0.00,0.00,0.00,0.00
Carbon,C ,0.28,0.00,0.00,0.00,0.00
Nitrogen,N ,0.39,0.00,0.00,0.00,0.00
Oxygen,O ,0.52,0.00,0.00,0.00,0.00
Fluorine,F ,0.68,0.00,0.00,0.00,0.00
Neon,Ne,0.85,0.85,0.86,0.00,0.00
Sodium,Na,1.04,1.04,1.07,0.00,0.00
Magnesium,Mg,1.25,1.25,1.30,0.00,0.00
Aluminum,Al,1.49,1.49,1.56,0.00,0.00
Silicon,Si,1.74,1.74,1.84,0.00,0.00
Phosphorus,P ,2.01,2.01,2.14,0.00,0.00
Sulfur,S ,2.31,2.31,2.46,0.00,0.00
Chlorine,Cl,2.62,2.62,2.82,0.00,0.00
Argon,Ar,2.96,2.96,3.19,0.00,0.00
Potassium,K ,3.31,3.31,3.59,0.00,0.00
Calcium,Ca,3.69,3.69,4.01,0.00,0.00
Scandium,Sc,4.09,4.09,4.46,0.00,0.00
Titanium,Ti,4.51,4.50,4.93,0.00,0.00
Vanadium,V ,4.95,4.94,5.43,0.00,0.00
Chromium,Cr,5.41,5.41,5.95,0.00,0.00
Manganese,Mn,5.90,5.89,6.49,0.00,0.00
Iron,Fe,6.40,6.39,7.06,0.00,0.00
Cobalt,Co,6.93,6.92,7.65,0.00,0.00
Nickel,Ni,7.48,7.46,8.26,0.00,0.00
Copper,Cu,8.05,8.03,8.91,0.00,0.00
Zinc,Zn,8.64,8.62,9.57,0.00,0.00
Gallium,Ga,9.25,9.22,10.26,0.00,10.26
Germanium,Ge,9.89,9.86,10.98,0.00,10.98
Arsenic,As,10.54,10.51,11.73,0.00,11.72
Selenium,Se,11.22,11.18,12.50,12.65,12.49
Bromine,Br,11.92,11.88,13.29,13.47,13.28
Krypton,Kr,12.65,12.60,14.11,14.31,14.10
Rubidium,Rb,13.40,13.34,14.96,15.18,14.95
Strontium,Sr,14.17,14.10,15.84,16.08,15.82
Yttrium,Y ,14.96,14.88,16.74,17.01,16.72
Zirconium,Zr,15.78,15.69,17.67,17.97,17.65
Niobium,Nb,16.62,16.52,18.62,18.95,18.60
Molybdenum,Mo,17.48,17.37,19.61,19.96,19.59
Technetium,Tc,18.37,18.25,20.62,21.00,20.59
Ruthenium,Ru,19.28,19.15,21.66,22.07,21.63
Rhodium,Rh,20.22,20.07,22.72,23.17,22.70
Palladium,Pd,21.18,21.02,23.82,24.30,23.79
Silver,Ag,22.16,21.99,24.94,25.45,24.91
Cadmium,Cd,23.17,22.98,26.10,26.64,26.06
Indium,In,24.21,24.00,27.28,27.86,27.23
Tin,Sn,25.27,25.04,28.49,29.11,28.44
Antimony,Sb,26.36,26.11,29.73,30.38,29.67
Tellurium,Te,27.47,27.20,31.00,31.69,30.94
Iodine,I ,28.61,28.32,32.29,33.04,32.23
Xenon,Xe,29.78,29.46,33.62,34.41,33.56
Cesium,Cs,30.97,30.63,34.99,35.82,34.91
Barium,Ba,32.19,31.82,36.38,37.25,36.30
Lanthanum,La,33.44,33.03,37.80,38.72,37.71
Cerium,Ce,34.72,34.28,39.26,40.22,39.16
Praseodymium,Pr,36.03,35.55,40.75,41.76,40.64
Neodymium,Nd,37.36,36.85,42.27,43.32,42.16
Promethium,Pm,38.72,38.17,43.83,44.92,43.70
Samarium,Sm,40.12,39.52,45.41,46.54,45.28
Europium,Eu,41.54,40.90,47.04,48.20,46.90
Gadolinium,Gd,43.00,42.31,48.70,49.89,48.55
Terbium,Tb,44.48,43.74,50.38,51.61,50.23
Dysprosium,Dy,46.00,45.21,52.12,53.35,51.96
Holmium,Ho,47.55,46.70,53.88,55.13,53.72
Erbium,Er,49.13,48.22,55.68,56.93,55.51
Thulium,Tm,50.74,49.77,57.52,58.76,57.35
Ytterbium,Yb,52.39,51.35,59.37,60.61,59.23
Lutetium,Lu,54.07,52.97,61.28,62.48,61.15
Hafnium,Hf,55.79,54.61,63.23,64.37,63.11
Tantalum,Ta,57.53,56.28,65.22,66.29,65.11
Tungsten,W ,59.32,57.98,67.24,68.22,67.16
Rhenium,Re,61.14,59.72,69.31,70.17,69.26
Osmium,Os,63.00,61.49,71.41,72.13,71.40
Iridium,Ir,64.90,63.29,73.56,74.10,73.59
Platinium,Pt,66.83,65.11,75.75,76.08,75.83
Gold,Au,68.80,66.99,77.98,78.06,78.12
Mercury,Hg,70.82,68.90,80.25,0.00,0.00
Thallium,Tl,72.87,70.83,82.58,0.00,0.00
Lead,Pb,74.97,72.80,84.94,0.00,0.00
Bismuth,Bi,77.11,74.81,87.34,0.00,0.00
Polonium,Po,79.29,76.86,89.80,0.00,0.00
Astatine,At,81.52,78.95,92.30,0.00,0.00
Radon,Rn,83.78,81.07,94.87,0.00,0.00
Francium,Fr,86.10,83.23,97.47,0.00,0.00
Radium,Ra,88.47,85.43,100.13,0.00,0.00
Actinium,Ac,90.88,87.67,102.85,0.00,0.00
Thorium,Th,93.35,89.95,105.61,0.00,0.00
Protoactinium,Pa,95.87,92.29,108.43,0.00,0.00
Uranium,U ,98.44,94.67,111.30,0.00,0.00
Neptunium,Np,0.00,0.00,0.00,0.00,0.00
Plutonium,Pu,0.00,0.00,0.00,0.00,0.00
Americium,Am,0.00,0.00,0.00,0.00,0.00
Californium,Cm,0.00,0.00,0.00,0.00,0.00
