ElementName,Symbol,La1 ,La2 ,Lb1 ,Lb2 ,Lb3 ,Lb4 ,Lg1 ,Lg2 ,Lg3 ,Ll
Hydrogen,H ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Helium,He,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithium,Li,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Beryllium,Be,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Boron,B ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carbon,C ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nitrogen,N ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oxygen,O ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fluorine,F ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neon,Ne,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sodium,Na,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Magnesium,Mg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aluminum,Al,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Silicon,Si,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.06
Phosphorus,P ,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.10
Sulfur,S ,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15
Chlorine,Cl,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18
Argon,Ar,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22
Potassium,K ,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26
Calcium,Ca,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.31,0.30
Scandium,Sc,0.40,0.40,0.40,0.00,0.46,0.46,0.00,0.00,0.35,0.35
Titanium,Ti,0.45,0.45,0.46,0.00,0.52,0.52,0.00,0.00,0.40,0.40
Vanadium,V ,0.51,0.51,0.52,0.00,0.59,0.59,0.00,0.00,0.45,0.45
Chromium,Cr,0.57,0.57,0.58,0.00,0.65,0.65,0.00,0.00,0.51,0.50
