Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15BL-1-5-IVSD-MAJ"
Duration Time,180.647
Ambient Temperature,"104.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"3176123"
Raw Accumulated Counts,"3326368"
Valid Count Last Packet,"16678"
Raw Count Last Packet,"17490"
Live Time,172.516983
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8359
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"6074"
1,"4785"
2,"2705"
3,"1280"
4,"446"
5,"108"
6,"29"
7,"11"
8,"2"
9,"0"
10,"3"
11,"2"
12,"0"
13,"1"
14,"1"
15,"0"
16,"0"
17,"1"
18,"2"
19,"2"
20,"1"
21,"1"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"11"
32,"70"
33,"195"
34,"282"
35,"338"
36,"323"
37,"366"
38,"352"
39,"330"
40,"336"
41,"344"
42,"392"
43,"394"
44,"423"
45,"456"
46,"492"
47,"570"
48,"554"
49,"586"
50,"520"
51,"486"
52,"530"
53,"432"
54,"527"
55,"504"
56,"520"
57,"477"
58,"467"
59,"499"
60,"519"
61,"537"
62,"542"
63,"537"
64,"560"
65,"564"
66,"557"
67,"552"
68,"542"
69,"685"
70,"969"
71,"1395"
72,"2055"
73,"2972"
74,"3748"
75,"3955"
76,"3588"
77,"2822"
78,"2086"
79,"1667"
80,"1466"
81,"1951"
82,"3653"
83,"8329"
84,"17111"
85,"30315"
86,"44916"
87,"55219"
88,"56366"
89,"47082"
90,"33885"
91,"21082"
92,"11334"
93,"6449"
94,"3649"
95,"2422"
96,"1950"
97,"1930"
98,"2126"
99,"2446"
100,"2771"
101,"2903"
102,"2737"
103,"2387"
104,"1795"
105,"1361"
106,"1104"
107,"899"
108,"881"
109,"902"
110,"1080"
111,"1464"
112,"2097"
113,"3268"
114,"4634"
115,"6076"
116,"6649"
117,"6483"
118,"5361"
119,"4123"
120,"2823"
121,"2107"
122,"1718"
123,"1627"
124,"1525"
125,"1507"
126,"1537"
127,"1582"
128,"1716"
129,"2029"
130,"2711"
131,"3954"
132,"5733"
133,"8305"
134,"10668"
135,"12578"
136,"13157"
137,"12079"
138,"10658"
139,"8692"
140,"7968"
141,"7633"
142,"7962"
143,"8023"
144,"7494"
145,"6804"
146,"5744"
147,"4896"
148,"4288"
149,"3857"
150,"3310"
151,"2808"
152,"2345"
153,"1937"
154,"1507"
155,"1329"
156,"1193"
157,"1167"
158,"1189"
159,"1198"
160,"1362"
161,"1729"
162,"2436"
163,"3801"
164,"5590"
165,"7573"
166,"9462"
167,"10235"
168,"9860"
169,"8259"
170,"6027"
171,"4097"
172,"2724"
173,"1897"
174,"1560"
175,"1450"
176,"1696"
177,"2090"
178,"3012"
179,"4698"
180,"8362"
181,"14333"
182,"23992"
183,"37796"
184,"52393"
185,"64803"
186,"69323"
187,"66557"
188,"55264"
189,"40236"
190,"25637"
191,"14408"
192,"7811"
193,"3966"
194,"2441"
195,"1908"
196,"2283"
197,"3117"
198,"4396"
199,"6196"
200,"8344"
201,"10362"
202,"11426"
203,"11366"
204,"9944"
205,"7850"
206,"5706"
207,"3761"
208,"2529"
209,"1770"
210,"1304"
211,"1187"
212,"1112"
213,"1179"
214,"1186"
215,"1156"
216,"1172"
217,"1229"
218,"1250"
219,"1277"
220,"1556"
221,"1786"
222,"2207"
223,"3078"
224,"4175"
225,"5276"
226,"6363"
227,"6967"
228,"6921"
229,"6136"
230,"5213"
231,"3984"
232,"3113"
233,"2498"
234,"2110"
235,"1978"
236,"1831"
237,"1826"
238,"1626"
239,"1598"
240,"1624"
241,"1676"
242,"1806"
243,"1869"
244,"2107"
245,"2317"
246,"2444"
247,"2734"
248,"2902"
249,"3158"
250,"3111"
251,"2903"
252,"2685"
253,"2374"
254,"2256"
255,"2026"
256,"2006"
257,"2080"
258,"1986"
259,"1983"
260,"1975"
261,"1984"
262,"2105"
263,"2108"
264,"2173"
265,"2276"
266,"2251"
267,"2473"
268,"2607"
269,"3104"
270,"3400"
271,"3700"
272,"4058"
273,"4158"
274,"3948"
275,"3758"
276,"3372"
277,"3025"
278,"2773"
279,"2498"
280,"2349"
281,"2366"
282,"2321"
283,"2351"
284,"2349"
285,"2385"
286,"2385"
287,"2430"
288,"2492"
289,"2398"
290,"2613"
291,"2543"
292,"2543"
293,"2746"
294,"2798"
295,"2874"
296,"3054"
297,"3152"
298,"3288"
299,"3134"
300,"3221"
301,"3132"
302,"2998"
303,"2923"
304,"2960"
305,"2882"
306,"2825"
307,"2847"
308,"2834"
309,"2939"
310,"3131"
311,"3072"
312,"3375"
313,"4093"
314,"5119"
315,"7561"
316,"11873"
317,"18833"
318,"29505"
319,"42950"
320,"57860"
321,"70745"
322,"79746"
323,"81703"
324,"75785"
325,"64383"
326,"50020"
327,"35545"
328,"23456"
329,"14626"
330,"8801"
331,"5791"
332,"4039"
333,"3337"
334,"2961"
335,"2841"
336,"2812"
337,"2765"
338,"2859"
339,"2845"
340,"2872"
341,"2844"
342,"2970"
343,"2909"
344,"3025"
345,"3128"
346,"3301"
347,"3475"
348,"4092"
349,"4913"
350,"6037"
351,"7511"
352,"9568"
353,"11640"
354,"13461"
355,"14793"
356,"15080"
357,"14299"
358,"12764"
359,"10699"
360,"8377"
361,"6504"
362,"4965"
363,"4066"
364,"3480"
365,"3105"
366,"2960"
367,"3067"
368,"3004"
369,"3038"
370,"3075"
371,"3237"
372,"3425"
373,"3539"
374,"3880"
375,"4069"
376,"4287"
377,"4295"
378,"4178"
379,"3823"
380,"3762"
381,"3291"
382,"3054"
383,"2912"
384,"2700"
385,"2589"
386,"2527"
387,"2500"
388,"2504"
389,"2454"
390,"2559"
391,"2405"
392,"2441"
393,"2442"
394,"2430"
395,"2491"
396,"2477"
397,"2461"
398,"2426"
399,"2537"
400,"2477"
401,"2470"
402,"2719"
403,"2699"
404,"2734"
405,"2793"
406,"2811"
407,"2816"
408,"2748"
409,"2735"
410,"2701"
411,"2718"
412,"2540"
413,"2679"
414,"2660"
415,"2646"
416,"2629"
417,"2679"
418,"2670"
419,"2581"
420,"2437"
421,"2480"
422,"2522"
423,"2464"
424,"2525"
425,"2380"
426,"2511"
427,"2589"
428,"2607"
429,"2681"
