Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15D4R-83-IVSD-MAJ"
Duration Time,180.113
Ambient Temperature,"105.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"4061931"
Raw Accumulated Counts,"4312400"
Valid Count Last Packet,"20992"
Raw Count Last Packet,"22210"
Live Time,169.626007
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8363
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"6021"
1,"4540"
2,"2784"
3,"1306"
4,"417"
5,"93"
6,"17"
7,"3"
8,"1"
9,"2"
10,"0"
11,"0"
12,"0"
13,"2"
14,"1"
15,"0"
16,"0"
17,"1"
18,"1"
19,"1"
20,"1"
21,"1"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"8"
32,"82"
33,"216"
34,"324"
35,"367"
36,"394"
37,"387"
38,"376"
39,"403"
40,"378"
41,"357"
42,"382"
43,"420"
44,"454"
45,"473"
46,"492"
47,"559"
48,"599"
49,"540"
50,"516"
51,"518"
52,"512"
53,"477"
54,"517"
55,"500"
56,"509"
57,"511"
58,"530"
59,"512"
60,"519"
61,"613"
62,"582"
63,"668"
64,"612"
65,"637"
66,"618"
67,"572"
68,"632"
69,"790"
70,"1221"
71,"2105"
72,"3480"
73,"4996"
74,"6445"
75,"6935"
76,"6270"
77,"4792"
78,"3321"
79,"2350"
80,"1859"
81,"1983"
82,"3159"
83,"6678"
84,"13168"
85,"23082"
86,"34080"
87,"41690"
88,"42567"
89,"36030"
90,"25755"
91,"15812"
92,"8883"
93,"4715"
94,"2833"
95,"1654"
96,"1215"
97,"913"
98,"835"
99,"856"
100,"883"
101,"831"
102,"869"
103,"853"
104,"867"
105,"822"
106,"858"
107,"879"
108,"959"
109,"1101"
110,"1396"
111,"2108"
112,"3561"
113,"5716"
114,"8463"
115,"11126"
116,"12443"
117,"12284"
118,"10050"
119,"7213"
120,"4872"
121,"3211"
122,"2366"
123,"2079"
124,"1986"
125,"1826"
126,"1844"
127,"1683"
128,"1748"
129,"1986"
130,"2655"
131,"3799"
132,"5591"
133,"8166"
134,"10356"
135,"12260"
136,"13102"
137,"12308"
138,"10532"
139,"8995"
140,"7858"
141,"7659"
142,"7820"
143,"7966"
144,"7734"
145,"6907"
146,"5734"
147,"4932"
148,"4099"
149,"3671"
150,"3268"
151,"2749"
152,"2293"
153,"1913"
154,"1571"
155,"1260"
156,"1182"
157,"1232"
158,"1313"
159,"1489"
160,"2059"
161,"3291"
162,"5810"
163,"9941"
164,"16077"
165,"22573"
166,"28174"
167,"30669"
168,"29094"
169,"23513"
170,"16931"
171,"10663"
172,"6044"
173,"3235"
174,"1971"
175,"1580"
176,"1731"
177,"2228"
178,"3070"
179,"4127"
180,"4859"
181,"5472"
182,"5829"
183,"5889"
184,"5827"
185,"5544"
186,"5143"
187,"4561"
188,"3767"
189,"2881"
190,"2144"
191,"1524"
192,"1234"
193,"1043"
194,"918"
195,"961"
196,"1025"
197,"999"
198,"1135"
199,"1169"
200,"1326"
201,"1511"
202,"1512"
203,"1579"
204,"1509"
205,"1459"
206,"1381"
207,"1315"
208,"1207"
209,"1215"
210,"1147"
211,"1254"
212,"1180"
213,"1266"
214,"1273"
215,"1385"
216,"1250"
217,"1411"
218,"1494"
219,"1651"
220,"2013"
221,"2672"
222,"3800"
223,"5367"
224,"7695"
225,"10239"
226,"12281"
227,"13415"
228,"13127"
229,"11875"
230,"9604"
231,"7325"
232,"5411"
233,"3996"
234,"3187"
235,"2803"
236,"2563"
237,"2285"
238,"2172"
239,"2077"
240,"2091"
241,"2165"
242,"2301"
243,"2628"
244,"2884"
245,"3288"
246,"3768"
247,"4189"
248,"4375"
249,"4625"
250,"4465"
251,"4051"
252,"3664"
253,"3053"
254,"2739"
255,"2468"
256,"2255"
257,"2276"
258,"2314"
259,"2176"
260,"2359"
261,"2421"
262,"2361"
263,"2487"
264,"2402"
265,"2464"
266,"2511"
267,"2613"
268,"2572"
269,"2718"
270,"2772"
271,"2927"
272,"2972"
273,"3022"
274,"2961"
275,"2990"
276,"2885"
277,"2785"
278,"2733"
279,"2671"
280,"2634"
281,"2678"
282,"2635"
283,"2630"
284,"2694"
285,"2581"
286,"2705"
287,"2666"
288,"2758"
289,"2749"
290,"2879"
291,"2853"
292,"2910"
293,"3116"
294,"3123"
295,"3446"
296,"3482"
297,"3621"
298,"3638"
299,"3583"
300,"3475"
301,"3447"
302,"3279"
