Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15RTC-W-21-IVSD-MAJ"
Duration Time,180.724
Ambient Temperature,"105.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"2789823"
Raw Accumulated Counts,"2906647"
Valid Count Last Packet,"14446"
Raw Count Last Packet,"15103"
Live Time,173.572021
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8381
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"6202"
1,"4746"
2,"2791"
3,"1296"
4,"467"
5,"86"
6,"16"
7,"1"
8,"0"
9,"2"
10,"2"
11,"0"
12,"3"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"3"
20,"2"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"2"
31,"11"
32,"66"
33,"194"
34,"245"
35,"288"
36,"326"
37,"319"
38,"298"
39,"310"
40,"323"
41,"318"
42,"321"
43,"370"
44,"367"
45,"417"
46,"452"
47,"489"
48,"490"
49,"479"
50,"430"
51,"411"
52,"388"
53,"419"
54,"417"
55,"474"
56,"441"
57,"423"
58,"420"
59,"420"
60,"455"
61,"455"
62,"481"
63,"510"
64,"501"
65,"504"
66,"498"
67,"468"
68,"544"
69,"606"
70,"695"
71,"1144"
72,"1730"
73,"2440"
74,"3053"
75,"3220"
76,"2965"
77,"2556"
78,"1868"
79,"1590"
80,"1658"
81,"2223"
82,"4383"
83,"10048"
84,"20519"
85,"36368"
86,"54233"
87,"66868"
88,"68042"
89,"57583"
90,"41137"
91,"25059"
92,"13770"
93,"7194"
94,"3864"
95,"2190"
96,"1298"
97,"862"
98,"658"
99,"616"
100,"678"
101,"707"
102,"683"
103,"682"
104,"633"
105,"587"
106,"581"
107,"578"
108,"623"
109,"685"
110,"834"
111,"1238"
112,"1947"
113,"3016"
114,"4311"
115,"5658"
116,"6352"
117,"6207"
118,"5116"
119,"3773"
120,"2641"
121,"1894"
122,"1471"
123,"1374"
124,"1313"
125,"1279"
126,"1358"
127,"1430"
128,"1515"
129,"1777"
130,"2561"
131,"3726"
132,"5504"
133,"7866"
134,"10332"
135,"11753"
136,"12668"
137,"11709"
138,"9961"
139,"8440"
140,"7433"
141,"7274"
142,"7545"
143,"7722"
144,"7366"
145,"6391"
146,"5531"
147,"4662"
148,"3991"
149,"3423"
150,"3097"
151,"2649"
152,"2146"
153,"1628"
154,"1350"
155,"1104"
156,"1056"
157,"979"
158,"953"
159,"974"
160,"1203"
161,"1632"
162,"2442"
163,"3849"
164,"5968"
165,"8201"
166,"10432"
167,"11232"
168,"10666"
169,"8887"
170,"6381"
171,"4237"
172,"2580"
173,"1515"
174,"1017"
175,"907"
176,"955"
177,"1115"
178,"1482"
179,"1821"
180,"2098"
181,"2425"
182,"2655"
183,"2771"
184,"2975"
185,"3058"
186,"2956"
187,"2710"
188,"2310"
189,"1846"
190,"1457"
191,"1102"
192,"977"
193,"860"
194,"827"
195,"878"
196,"898"
197,"950"
198,"1027"
199,"1131"
200,"1168"
201,"1238"
202,"1315"
203,"1304"
204,"1214"
205,"1208"
206,"1202"
207,"1137"
208,"1147"
209,"1126"
210,"1118"
211,"1057"
212,"1110"
213,"1114"
214,"1140"
215,"1163"
216,"1244"
217,"1342"
218,"1409"
219,"1553"
220,"1757"
221,"2343"
222,"3065"
223,"4034"
224,"5158"
225,"6182"
226,"6927"
227,"7207"
228,"6832"
229,"5792"
230,"4843"
231,"3772"
232,"2966"
233,"2398"
234,"2101"
235,"1976"
236,"1833"
237,"1868"
238,"1899"
239,"2019"
240,"2351"
241,"2566"
242,"3059"
243,"3512"
244,"4264"
245,"5212"
246,"6322"
247,"7633"
248,"8639"
249,"9297"
250,"9342"
251,"8525"
252,"7046"
253,"5787"
254,"4402"
255,"3416"
256,"2969"
257,"2619"
258,"2525"
259,"2545"
260,"2602"
261,"2643"
262,"2598"
263,"2489"
264,"2546"
265,"2544"
266,"2522"
267,"2597"
268,"2797"
269,"2929"
270,"3266"
271,"3579"
272,"3887"
273,"4065"
274,"4038"
275,"3972"
276,"3748"
277,"3387"
278,"3144"
279,"3020"
280,"2894"
281,"2689"
282,"2639"
283,"2594"
284,"2504"
285,"2628"
286,"2530"
287,"2661"
288,"2600"
289,"2624"
290,"2682"
291,"2705"
292,"2814"
293,"2886"
294,"2955"
295,"2906"
296,"2992"
297,"3144"
298,"3125"
299,"3169"
300,"3047"
301,"3065"
302,"2944"
303,"2960"
304,"2958"
305,"2874"
306,"2951"
307,"2998"
308,"3041"
309,"3179"
310,"3153"
311,"3316"
312,"3561"
313,"4010"
314,"5359"
315,"7584"
316,"11607"
317,"18442"
318,"28490"
319,"41532"
320,"55918"
321,"68226"
322,"76527"
323,"78498"
324,"73225"
325,"62205"
326,"48346"
327,"34961"
328,"23022"
329,"14307"
330,"9010"
331,"5953"
332,"4119"
333,"3421"
334,"3149"
335,"2985"
336,"2974"
337,"2952"
338,"2940"
339,"2973"
340,"2962"
341,"3042"
342,"3065"
343,"3051"
344,"3189"
345,"3289"
346,"3458"
347,"3746"
348,"4090"
349,"4915"
350,"6193"
351,"7603"
352,"9479"
353,"11527"
354,"13176"
355,"14572"
356,"14729"
357,"13838"
358,"12458"
359,"10624"
360,"8417"
361,"6491"
362,"5004"
363,"4209"
364,"3585"
365,"3259"
366,"3155"
367,"3153"
368,"3190"
369,"3145"
370,"3306"
371,"3563"
372,"3683"
373,"4207"
374,"4298"
375,"4624"
376,"4922"
377,"4919"
378,"4777"
379,"4521"
380,"4044"
381,"3679"
382,"3305"
383,"3138"
384,"2956"
385,"2779"
386,"2763"
387,"2645"
388,"2694"
389,"2640"
390,"2710"
391,"2669"
392,"2562"
393,"2673"
394,"2631"
395,"2625"
396,"2650"
397,"2645"
398,"2722"
399,"2739"
400,"2642"
401,"2778"
