Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15SARM-41-IVSD-MAJ"
Duration Time,180.342
Ambient Temperature,"105.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"3640236"
Raw Accumulated Counts,"3843137"
Valid Count Last Packet,"19541"
Raw Count Last Packet,"20459"
Live Time,170.909058
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8353
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5996"
1,"4614"
2,"2783"
3,"1242"
4,"407"
5,"80"
6,"17"
7,"1"
8,"2"
9,"1"
10,"2"
11,"1"
12,"0"
13,"0"
14,"3"
15,"0"
16,"1"
17,"0"
18,"2"
19,"1"
20,"2"
21,"0"
22,"0"
23,"1"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"1"
30,"1"
31,"11"
32,"73"
33,"170"
34,"261"
35,"299"
36,"304"
37,"291"
38,"328"
39,"305"
40,"321"
41,"351"
42,"336"
43,"334"
44,"387"
45,"401"
46,"494"
47,"511"
48,"495"
49,"498"
50,"504"
51,"472"
52,"411"
53,"456"
54,"478"
55,"452"
56,"486"
57,"488"
58,"468"
59,"569"
60,"671"
61,"900"
62,"1122"
63,"1130"
64,"1065"
65,"887"
66,"751"
67,"579"
68,"565"
69,"624"
70,"947"
71,"1546"
72,"2580"
73,"3754"
74,"4836"
75,"5017"
76,"4629"
77,"3600"
78,"2539"
79,"1783"
80,"1390"
81,"1675"
82,"3061"
83,"6249"
84,"12954"
85,"23155"
86,"33690"
87,"41445"
88,"42576"
89,"35803"
90,"25543"
91,"15551"
92,"8633"
93,"4747"
94,"2660"
95,"1612"
96,"1075"
97,"868"
98,"767"
99,"742"
100,"749"
101,"690"
102,"684"
103,"658"
104,"596"
105,"559"
106,"547"
107,"577"
108,"545"
109,"573"
110,"655"
111,"761"
112,"896"
113,"1188"
114,"1605"
115,"2109"
116,"2354"
117,"2383"
118,"2112"
119,"1739"
120,"1510"
121,"1201"
122,"1090"
123,"1122"
124,"1076"
125,"1110"
126,"1214"
127,"1274"
128,"1472"
129,"1837"
130,"2493"
131,"3703"
132,"5544"
133,"7904"
134,"10575"
135,"12651"
136,"13176"
137,"12775"
138,"10845"
139,"8743"
140,"7989"
141,"7864"
142,"8131"
143,"8058"
144,"7699"
145,"6758"
146,"5817"
147,"4948"
148,"4284"
149,"3702"
150,"3285"
151,"2823"
152,"2248"
153,"1739"
154,"1405"
155,"1160"
156,"1066"
157,"1025"
158,"1025"
159,"1091"
160,"1306"
161,"1628"
162,"2454"
163,"4020"
164,"6129"
165,"8430"
166,"10343"
167,"11207"
168,"10576"
169,"8886"
170,"6477"
171,"4311"
172,"2644"
173,"1695"
174,"1203"
175,"1057"
176,"1142"
177,"1433"
178,"1826"
179,"2443"
180,"3460"
181,"4982"
182,"7070"
183,"9925"
184,"12860"
185,"15432"
186,"16680"
187,"15346"
188,"13014"
189,"9816"
190,"6454"
191,"4004"
192,"2325"
193,"1529"
194,"1195"
195,"1173"
196,"1215"
197,"1365"
198,"1737"
199,"2180"
200,"2693"
201,"3047"
202,"3318"
203,"3380"
204,"3130"
205,"2686"
206,"2195"
207,"1773"
208,"1524"
209,"1381"
210,"1276"
211,"1212"
212,"1239"
213,"1257"
214,"1224"
215,"1308"
216,"1380"
217,"1436"
218,"1469"
219,"1573"
220,"1884"
221,"2488"
222,"3282"
223,"4727"
224,"6302"
225,"8226"
226,"10115"
227,"10593"
228,"10463"
229,"9315"
230,"7805"
231,"5889"
232,"4419"
233,"3539"
234,"2971"
235,"2614"
236,"2415"
237,"2184"
238,"2162"
239,"2124"
240,"2182"
241,"2271"
242,"2415"
243,"2678"
244,"3010"
245,"3227"
246,"3474"
247,"3793"
248,"4080"
249,"4085"
250,"3900"
251,"3737"
252,"3274"
253,"2995"
254,"2646"
255,"2356"
256,"2309"
257,"2291"
258,"2374"
259,"2360"
260,"2460"
261,"2443"
262,"2423"
263,"2550"
264,"2560"
265,"2563"
266,"2602"
267,"2631"
268,"2704"
269,"2859"
270,"2972"
271,"3189"
272,"3196"
273,"3176"
274,"3276"
275,"3112"
276,"3010"
277,"2889"
278,"2829"
279,"2761"
280,"2730"
281,"2782"
282,"2670"
283,"2695"
284,"2703"
285,"2764"
286,"2661"
287,"2682"
288,"2855"
289,"2812"
290,"2974"
291,"3128"
292,"3427"
293,"3819"
294,"4289"
295,"4691"
296,"5253"
297,"5520"
298,"5282"
299,"5084"
300,"4684"
301,"4389"
302,"3895"
303,"3558"
304,"3490"
305,"3312"
306,"3343"
307,"3398"
308,"3422"
309,"3534"
310,"3663"
311,"4076"
312,"4641"
313,"5863"
314,"8564"
315,"13764"
316,"23066"
317,"39111"
318,"61497"
319,"92222"
320,"124686"
321,"154100"
322,"173827"
323,"178148"
324,"166324"
325,"140161"
326,"108752"
327,"75634"
328,"49353"
329,"29844"
330,"17278"
331,"9935"
332,"6219"
333,"4550"
334,"3807"
335,"3356"
336,"3274"
337,"3257"
338,"3188"
339,"3116"
340,"3293"
341,"3374"
342,"3417"
343,"3572"
344,"3743"
345,"3794"
346,"4260"
347,"4879"
348,"5697"
349,"7292"
350,"9961"
351,"13393"
352,"17480"
353,"22271"
354,"26520"
355,"29137"
356,"29838"
357,"28073"
358,"24918"
359,"20136"
360,"15401"
361,"11174"
362,"7939"
363,"5730"
364,"4331"
365,"3636"
366,"3111"
367,"3047"
368,"3191"
369,"3110"
370,"3046"
371,"3360"
372,"3644"
373,"3733"
374,"3937"
375,"4215"
376,"4308"
377,"4349"
378,"4196"
379,"3986"
380,"3670"
381,"3438"
382,"3123"
383,"3023"
384,"2742"
385,"2718"
386,"2623"
387,"2639"
388,"2655"
389,"2636"
390,"2537"
391,"2523"
392,"2532"
393,"2517"
394,"2480"
395,"2568"
396,"2534"
397,"2614"
398,"2555"
399,"2535"
400,"2730"
401,"2652"
402,"2914"
403,"2919"
404,"2914"
405,"2980"
406,"2915"
407,"2975"
408,"2927"
409,"2955"
410,"2972"
411,"2785"
412,"2672"
413,"2753"
414,"2880"
415,"2755"
416,"2790"
417,"2795"
418,"2702"
419,"2692"
420,"2741"
421,"2677"
422,"2588"
423,"2500"
424,"2476"
425,"2563"
426,"2512"
427,"2528"
428,"2613"
429,"2620"
430,"2670"
431,"2709"
432,"2835"
433,"2920"
434,"3043"
435,"3025"
436,"2948"
437,"2877"
438,"2894"
439,"2803"
440,"2809"
441,"2778"
442,"2652"
443,"2562"
444,"2551"
445,"2537"
446,"2554"
447,"2598"
448,"2578"
449,"2621"
450,"2639"
451,"2581"
452,"2590"
453,"2701"
454,"2567"
455,"2510"
456,"2546"
457,"2620"
458,"2541"
459,"2585"
460,"2564"
461,"2642"
462,"2583"
463,"2704"
464,"2645"
465,"2551"
466,"2572"
467,"2640"
468,"2645"
469,"2546"
470,"2593"
471,"2592"
472,"2652"
473,"2552"
474,"2506"
475,"2558"
476,"2592"
477,"2526"
478,"2520"
479,"2576"
480,"2490"
481,"2603"
482,"2460"
483,"2577"
484,"2481"
485,"2553"
486,"2524"
487,"2550"
488,"2526"
489,"2434"
490,"2477"
491,"2426"
492,"2444"
493,"2455"
494,"2502"
495,"2371"
496,"2492"
497,"2331"
498,"2317"
499,"2478"
500,"2489"
501,"2457"
502,"2459"
503,"2421"
504,"2308"
505,"2424"
506,"2431"
507,"2309"
508,"2447"
509,"2316"
510,"2378"
511,"2347"
512,"2315"
513,"2335"
514,"2328"
515,"2304"
516,"2289"
517,"2215"
518,"2286"
519,"2287"
520,"2226"
521,"2323"
522,"2265"
523,"2182"
524,"2246"
525,"2280"
526,"2263"
527,"2178"
528,"2255"
529,"2305"
530,"2280"
531,"2301"
532,"2250"
533,"2220"
534,"2177"
535,"2152"
536,"2173"
537,"2092"
538,"2162"
539,"2122"
540,"2137"
541,"2194"
542,"2096"
543,"2128"
544,"2022"
545,"2069"
546,"2079"
547,"2052"
548,"2082"
549,"1957"
550,"2067"
551,"2028"
552,"1879"
553,"1999"
554,"2029"
555,"1990"
556,"1906"
557,"1970"
558,"1867"
559,"1957"
560,"1859"
561,"1915"
562,"1946"
563,"1907"
564,"1984"
565,"1954"
566,"1883"
567,"1817"
568,"1854"
569,"1813"
570,"1867"
571,"1804"
572,"1792"
573,"1832"
574,"1718"
575,"1801"
576,"1784"
577,"1822"
578,"1786"
579,"1707"
580,"1800"
581,"1763"
582,"1703"
583,"1669"
584,"1763"
585,"1641"
586,"1731"
587,"1724"
588,"1686"
589,"1643"
590,"1572"
591,"1645"
592,"1654"
593,"1617"
594,"1654"
595,"1599"
596,"1567"
597,"1591"
598,"1549"
599,"1547"
600,"1574"
601,"1593"
602,"1569"
603,"1591"
604,"1504"
605,"1545"
606,"1504"
607,"1480"
608,"1486"
609,"1465"
610,"1479"
611,"1437"
612,"1434"
613,"1420"
614,"1403"
615,"1343"
616,"1459"
617,"1488"
618,"1330"
619,"1410"
620,"1357"
621,"1398"
622,"1328"
623,"1409"
624,"1320"
625,"1304"
626,"1324"
627,"1272"
628,"1314"
629,"1306"
630,"1278"
631,"1225"
632,"1237"
633,"1276"
634,"1206"
635,"1142"
636,"1215"
637,"1193"
638,"1195"
639,"1181"
640,"1193"
641,"1273"
642,"1247"
643,"1187"
644,"1241"
645,"1207"
646,"1147"
647,"1177"
648,"1153"
649,"1091"
650,"1087"
651,"1062"
652,"1161"
653,"1042"
654,"1045"
655,"981"
656,"985"
657,"933"
658,"944"
659,"961"
660,"938"
661,"950"
662,"941"
663,"905"
664,"901"
665,"867"
666,"868"
667,"865"
668,"866"
669,"867"
670,"858"
671,"821"
672,"851"
673,"812"
674,"888"
675,"777"
676,"813"
677,"779"
678,"775"
679,"737"
680,"786"
681,"719"
682,"729"
683,"672"
684,"654"
685,"694"
686,"642"
687,"693"
688,"608"
689,"647"
690,"587"
691,"600"
692,"577"
693,"581"
694,"547"
695,"546"
696,"521"
697,"511"
698,"498"
699,"493"
700,"477"
701,"477"
702,"431"
703,"464"
704,"413"
705,"418"
706,"378"
707,"399"
708,"370"
709,"347"
710,"320"
711,"361"
712,"333"
713,"302"
714,"269"
715,"249"
716,"266"
717,"254"
718,"273"
719,"247"
720,"221"
721,"214"
722,"209"
723,"201"
724,"191"
725,"204"
726,"167"
727,"165"
728,"146"
729,"127"
730,"151"
731,"135"
732,"143"
733,"111"
