Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15SDO-1-IVSD-MAJ"
Duration Time,180.711
Ambient Temperature,"106.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"5068331"
Raw Accumulated Counts,"5464803"
Valid Count Last Packet,"26585"
Raw Count Last Packet,"28583"
Live Time,167.477020
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8362
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"6013"
1,"4453"
2,"2743"
3,"1275"
4,"437"
5,"89"
6,"22"
7,"8"
8,"1"
9,"1"
10,"3"
11,"0"
12,"0"
13,"1"
14,"2"
15,"1"
16,"1"
17,"2"
18,"0"
19,"2"
20,"1"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"18"
32,"95"
33,"247"
34,"405"
35,"425"
36,"435"
37,"409"
38,"435"
39,"450"
40,"456"
41,"427"
42,"439"
43,"454"
44,"517"
45,"500"
46,"569"
47,"607"
48,"603"
49,"565"
50,"583"
51,"561"
52,"506"
53,"602"
54,"601"
55,"626"
56,"615"
57,"631"
58,"584"
59,"585"
60,"621"
61,"670"
62,"658"
63,"649"
64,"678"
65,"673"
66,"677"
67,"676"
68,"742"
69,"819"
70,"1119"
71,"1674"
72,"2647"
73,"3803"
74,"4760"
75,"5082"
76,"4543"
77,"3538"
78,"2751"
79,"2021"
80,"1624"
81,"1815"
82,"2852"
83,"5788"
84,"11359"
85,"19796"
86,"28944"
87,"35343"
88,"36088"
89,"30584"
90,"21783"
91,"13447"
92,"7531"
93,"4349"
94,"2534"
95,"1696"
96,"1316"
97,"1135"
98,"1045"
99,"1078"
100,"1121"
101,"1195"
102,"1250"
103,"1208"
104,"1130"
105,"1110"
106,"1169"
107,"1290"
108,"1352"
109,"1649"
110,"2343"
111,"3877"
112,"6730"
113,"11571"
114,"17394"
115,"23101"
116,"25853"
117,"24733"
118,"20562"
119,"14237"
120,"9032"
121,"5711"
122,"3932"
123,"3220"
124,"3008"
125,"2852"
126,"2574"
127,"2227"
128,"2084"
129,"2171"
130,"2574"
131,"3929"
132,"5544"
133,"7760"
134,"10363"
135,"12259"
136,"13001"
137,"11943"
138,"10668"
139,"8813"
140,"7931"
141,"7822"
142,"8015"
143,"8157"
144,"7598"
145,"6731"
146,"5781"
147,"4851"
