Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15W4-IVSD-MAJ"
Duration Time,180.533
Ambient Temperature,"105.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"3306206"
Raw Accumulated Counts,"3469506"
Valid Count Last Packet,"17355"
Raw Count Last Packet,"18098"
Live Time,172.083939
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8346
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"6036"
1,"4716"
2,"2742"
3,"1311"
4,"468"
5,"98"
6,"18"
7,"3"
8,"2"
9,"0"
10,"6"
11,"0"
12,"1"
13,"0"
14,"1"
15,"1"
16,"0"
17,"0"
18,"3"
19,"0"
20,"1"
21,"0"
22,"0"
23,"1"
24,"0"
25,"0"
26,"1"
27,"0"
28,"0"
29,"0"
30,"0"
31,"7"
32,"66"
33,"184"
34,"254"
35,"337"
36,"304"
37,"343"
38,"334"
39,"350"
40,"318"
41,"336"
42,"303"
43,"366"
44,"404"
45,"417"
46,"465"
47,"481"
48,"483"
49,"499"
50,"470"
51,"456"
52,"428"
53,"430"
54,"404"
55,"445"
56,"475"
57,"400"
58,"395"
59,"453"
60,"522"
61,"518"
62,"559"
63,"580"
64,"549"
65,"555"
66,"544"
67,"497"
68,"540"
69,"687"
70,"998"
71,"1666"
72,"2695"
73,"4126"
74,"5250"
75,"5741"
76,"5122"
77,"4012"
78,"2822"
79,"2051"
80,"1620"
81,"1964"
82,"3590"
83,"7720"
84,"15717"
85,"27766"
86,"41294"
87,"50648"
88,"52334"
89,"43986"
90,"31431"
91,"19362"
92,"10701"
93,"5618"
94,"3184"
95,"1902"
96,"1188"
97,"858"
98,"816"
99,"773"
100,"780"
101,"825"
102,"719"
103,"711"
104,"665"
105,"652"
106,"577"
107,"635"
108,"552"
109,"635"
110,"722"
111,"776"
112,"986"
113,"1240"
114,"1603"
115,"1912"
116,"2146"
117,"2211"
118,"2094"
119,"1635"
120,"1410"
121,"1188"
122,"1133"
123,"1096"
124,"1064"
125,"1153"
126,"1221"
127,"1270"
128,"1423"
129,"1768"
130,"2521"
131,"3595"
132,"5411"
133,"7830"
134,"10546"
135,"12069"
136,"12840"
137,"12034"
138,"10613"
139,"8926"
140,"7979"
141,"7725"
142,"8133"
143,"8189"
144,"7599"
145,"6941"
146,"5859"
147,"5053"
148,"4310"
149,"3752"
150,"3211"
151,"2768"
152,"2316"
153,"1860"
154,"1577"
155,"1211"
156,"1123"
157,"1089"
158,"1086"
159,"1302"
160,"1647"
161,"2405"
162,"3998"
163,"6999"
164,"10936"
165,"15320"
166,"19139"
167,"20930"
168,"20002"
169,"16263"
170,"11871"
171,"7446"
172,"4458"
173,"2480"
174,"1581"
175,"1348"
176,"1468"
177,"1983"
178,"2608"
179,"3484"
180,"4745"
181,"6436"
182,"8650"
183,"11202"
184,"14420"
185,"16652"
186,"17975"
187,"16573"
188,"14005"
189,"10250"
190,"6833"
191,"4212"
192,"2489"
193,"1565"
194,"1219"
195,"1126"
196,"1175"
197,"1312"
198,"1720"
199,"2197"
200,"2746"
201,"3154"
202,"3393"
203,"3427"
204,"3128"
205,"2661"
206,"2205"
207,"1694"
208,"1479"
209,"1330"
210,"1217"
211,"1219"
212,"1201"
213,"1116"
214,"1201"
215,"1263"
216,"1228"
217,"1252"
218,"1376"
219,"1558"
220,"1698"
221,"2347"
222,"3265"
223,"4661"
224,"6397"
225,"8680"
226,"10292"
227,"11578"
228,"11344"
229,"10060"
230,"8241"
231,"6117"
232,"4512"
233,"3414"
234,"2708"
235,"2456"
236,"2143"
237,"2061"
238,"1946"
239,"1910"
240,"1921"
241,"1944"
242,"2101"
243,"2287"
244,"2488"
245,"2896"
246,"3215"
247,"3429"
248,"3733"
249,"3715"
250,"3583"
251,"3361"
252,"3137"
253,"2727"
254,"2368"
255,"2266"
256,"2267"
257,"2100"
258,"2206"
259,"2157"
260,"2252"
261,"2340"
262,"2283"
263,"2326"
264,"2305"
265,"2418"
266,"2312"
267,"2442"
268,"2484"
269,"2658"
270,"2682"
271,"2778"
272,"2903"
273,"2821"
274,"2890"
275,"2921"
276,"2852"
277,"2704"
278,"2619"
279,"2633"
280,"2506"
281,"2543"
282,"2564"
283,"2604"
284,"2520"
285,"2638"
286,"2580"
287,"2658"
288,"2691"
289,"2650"
290,"2644"
291,"2787"
292,"2783"
293,"2885"
294,"3157"
295,"3365"
296,"3301"
297,"3534"
298,"3579"
299,"3613"
300,"3412"
301,"3289"
302,"3178"
303,"3065"
304,"3095"
305,"3026"
306,"3092"
307,"3104"
308,"3310"
309,"3319"
310,"3287"
311,"3687"
312,"4043"
313,"5109"
314,"7083"
315,"10900"
316,"18286"
317,"30201"
318,"47230"
319,"69821"
320,"94345"
321,"117125"
322,"132261"
323,"135120"
324,"125258"
325,"107079"
326,"82753"
327,"58534"
328,"38007"
329,"23149"
330,"13796"
331,"8031"
332,"5209"
333,"3839"
334,"3375"
335,"3234"
336,"3081"
337,"2980"
338,"2971"
339,"2914"
340,"3117"
341,"3055"
342,"3085"
343,"3223"
344,"3367"
345,"3605"
346,"3651"
347,"4112"
348,"4945"
349,"6022"
350,"7881"
351,"10533"
352,"13766"
353,"17423"
354,"20576"
355,"22538"
356,"23132"
357,"21987"
358,"19047"
359,"15873"
360,"12005"
361,"9070"
362,"6623"
363,"5008"
364,"3854"
365,"3387"
366,"3078"
367,"2996"
368,"2921"
369,"3094"
370,"3088"
371,"3119"
372,"3259"
373,"3300"
374,"3634"
375,"3630"
376,"3721"
377,"3725"
378,"3520"
379,"3497"
380,"3175"
381,"3067"
382,"2957"
383,"2699"
384,"2644"
385,"2628"
386,"2534"
387,"2556"
388,"2545"
389,"2472"
390,"2513"
391,"2421"
392,"2520"
393,"2516"
394,"2509"
395,"2542"
396,"2464"
397,"2485"
398,"2552"
399,"2566"
400,"2630"
401,"2623"
402,"2653"
403,"2666"
404,"2737"
405,"2687"
406,"2720"
407,"2741"
408,"2715"
409,"2709"
410,"2601"
411,"2633"
412,"2602"
413,"2531"
414,"2611"
415,"2657"
416,"2606"
417,"2604"
418,"2664"
419,"2508"
420,"2508"
421,"2502"
422,"2595"
423,"2436"
424,"2446"
425,"2453"
426,"2488"
427,"2511"
428,"2498"
429,"2549"
430,"2670"
431,"2680"
432,"2699"
433,"2771"
434,"2958"
435,"2878"
436,"2981"
437,"2980"
438,"2835"
439,"2781"
440,"2682"
441,"2545"
442,"2519"
443,"2572"
444,"2482"
445,"2435"
446,"2486"
447,"2457"
448,"2427"
449,"2453"
450,"2476"
451,"2403"
452,"2522"
453,"2491"
454,"2442"
455,"2494"
456,"2425"
457,"2506"
458,"2528"
459,"2569"
460,"2541"
461,"2515"
462,"2563"
463,"2469"
464,"2529"
465,"2565"
466,"2633"
467,"2666"
468,"2504"
469,"2523"
470,"2472"
471,"2504"
472,"2293"
473,"2479"
474,"2500"
475,"2476"
476,"2412"
477,"2525"
478,"2472"
479,"2446"
480,"2544"
481,"2516"
482,"2434"
483,"2460"
484,"2479"
485,"2444"
486,"2475"
487,"2431"
488,"2463"
489,"2515"
490,"2411"
491,"2436"
492,"2425"
493,"2454"
494,"2291"
495,"2348"
496,"2343"
497,"2439"
498,"2435"
499,"2249"
500,"2289"
501,"2284"
502,"2317"
503,"2445"
504,"2289"
505,"2346"
506,"2274"
507,"2329"
508,"2374"
509,"2344"
510,"2295"
511,"2312"
512,"2253"
