Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40BL-1-122-IVSD-TR"
Duration Time,60.135
Ambient Temperature,"103.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"725605"
Raw Accumulated Counts,"751795"
Valid Count Last Packet,"11425"
Raw Count Last Packet,"11836"
Live Time,58.397964
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8418
Number of Channels,2048
Vacuum,632
Channel#,Intensity
0,"2064"
1,"1602"
2,"966"
3,"505"
4,"193"
5,"54"
6,"8"
7,"1"
8,"0"
9,"0"
10,"1"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"3"
32,"47"
33,"131"
34,"166"
35,"184"
36,"236"
37,"193"
38,"199"
39,"207"
40,"198"
41,"204"
42,"188"
43,"195"
44,"163"
45,"180"
46,"189"
47,"199"
48,"182"
49,"166"
50,"181"
51,"165"
52,"186"
53,"188"
54,"178"
55,"180"
56,"180"
57,"202"
58,"181"
59,"197"
60,"185"
61,"160"
62,"170"
63,"149"
64,"187"
65,"166"
66,"161"
67,"153"
68,"187"
69,"144"
70,"151"
71,"189"
72,"166"
73,"176"
74,"161"
75,"156"
76,"153"
77,"164"
78,"157"
79,"137"
80,"138"
81,"154"
82,"137"
83,"158"
84,"163"
85,"189"
86,"198"
87,"220"
88,"208"
89,"195"
90,"194"
91,"162"
92,"147"
93,"146"
94,"154"
95,"140"
96,"137"
97,"135"
98,"138"
99,"152"
100,"138"
101,"119"
102,"138"
103,"147"
104,"136"
105,"123"
106,"125"
107,"128"
108,"116"
109,"131"
110,"96"
111,"125"
112,"123"
113,"119"
114,"142"
115,"136"
116,"141"
117,"144"
118,"142"
119,"124"
120,"118"
121,"124"
122,"132"
123,"108"
124,"106"
125,"94"
126,"100"
127,"105"
128,"97"
129,"97"
130,"87"
131,"102"
132,"103"
133,"101"
134,"95"
135,"97"
136,"100"
137,"95"
138,"85"
139,"105"
140,"91"
141,"120"
142,"132"
143,"127"
144,"100"
145,"137"
146,"114"
147,"142"
148,"154"
149,"133"
150,"147"
