Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40D4R-118-IVSD-TR"
Duration Time,60.073
Ambient Temperature,"104.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"802858"
Raw Accumulated Counts,"834319"
Valid Count Last Packet,"12505"
Raw Count Last Packet,"12950"
Live Time,58.139019
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8383
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"2002"
1,"1575"
2,"959"
3,"531"
4,"158"
5,"39"
6,"12"
7,"3"
8,"1"
9,"1"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"0"
21,"0"
22,"1"
23,"0"
24,"0"
25,"0"
26,"0"
27,"1"
28,"0"
29,"0"
30,"0"
31,"10"
32,"51"
33,"131"
34,"169"
35,"191"
36,"248"
37,"209"
38,"214"
39,"239"
40,"205"
41,"205"
42,"191"
43,"205"
44,"212"
45,"237"
46,"221"
47,"200"
48,"187"
49,"205"
50,"207"
51,"193"
52,"174"
53,"200"
54,"207"
55,"187"
56,"183"
57,"222"
58,"168"
59,"193"
60,"189"
61,"206"
62,"195"
63,"179"
64,"187"
65,"190"
66,"170"
67,"162"
68,"186"
69,"188"
70,"150"
71,"172"
72,"166"
73,"179"
74,"182"
75,"190"
76,"191"
77,"162"
78,"182"
79,"154"
80,"158"
81,"154"
82,"169"
83,"178"
84,"170"
85,"180"
86,"207"
87,"204"
88,"228"
89,"196"
90,"174"
91,"150"
92,"161"
93,"141"
94,"133"
95,"172"
96,"142"
97,"129"
98,"123"
99,"151"
100,"135"
101,"135"
102,"115"
103,"141"
104,"130"
105,"118"
106,"132"
107,"133"
108,"130"
109,"110"
110,"127"
111,"138"
112,"125"
113,"122"
114,"134"
115,"127"
116,"113"
117,"132"
118,"124"
119,"134"
120,"102"
121,"135"
122,"105"
123,"109"
124,"98"
125,"117"
126,"122"
127,"102"
128,"120"
129,"112"
130,"125"
131,"122"
132,"111"
133,"125"
134,"137"
135,"117"
136,"115"
137,"103"
138,"133"
139,"126"
140,"110"
141,"109"
142,"146"
143,"129"
144,"138"
145,"145"
146,"143"
147,"102"
148,"147"
149,"141"
150,"145"
151,"128"
152,"143"
153,"116"
154,"105"
155,"120"
156,"106"
157,"103"
158,"103"
159,"99"
160,"90"
161,"128"
162,"184"
163,"271"
164,"399"
165,"479"
166,"606"
167,"641"
168,"649"
169,"514"
170,"384"
171,"274"
172,"166"
173,"124"
174,"97"
175,"84"
176,"56"
177,"100"
178,"116"
179,"136"
180,"158"
181,"171"
182,"178"
183,"203"
184,"219"
185,"184"
186,"197"
187,"180"
188,"157"
189,"107"
190,"87"
191,"67"
192,"53"
193,"57"
194,"59"
195,"56"
196,"50"
197,"62"
198,"52"
199,"57"
200,"49"
201,"72"
202,"81"
203,"52"
204,"61"
205,"63"
206,"53"
207,"46"
208,"62"
209,"46"
210,"51"
211,"48"
212,"46"
213,"47"
214,"37"
215,"48"
216,"50"
217,"43"
218,"32"
219,"62"
220,"66"
221,"91"
222,"131"
223,"208"
224,"283"
225,"355"
226,"473"
227,"491"
228,"475"
229,"407"
230,"356"
231,"309"
232,"183"
233,"148"
234,"164"
235,"129"
236,"115"
237,"96"
238,"83"
239,"68"
240,"69"
241,"59"
242,"61"
243,"85"
244,"88"
245,"115"
246,"100"
247,"130"
248,"144"
249,"145"
250,"126"
251,"124"
252,"105"
253,"89"
254,"78"
255,"49"
