Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40RTC-W-50-IVSD-TR"
Duration Time,60.045
Ambient Temperature,"103.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"758773"
Raw Accumulated Counts,"787448"
Valid Count Last Packet,"12050"
Raw Count Last Packet,"12483"
Live Time,58.212006
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8406
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"2003"
1,"1518"
2,"1019"
3,"455"
4,"209"
5,"42"
6,"4"
7,"1"
8,"1"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"6"
32,"65"
33,"120"
34,"193"
35,"234"
36,"239"
37,"249"
38,"235"
39,"239"
40,"233"
41,"226"
42,"262"
43,"249"
44,"220"
45,"218"
46,"202"
47,"244"
48,"238"
49,"244"
50,"237"
51,"214"
52,"254"
53,"242"
54,"218"
55,"216"
56,"208"
57,"207"
58,"192"
59,"197"
60,"198"
61,"239"
62,"198"
63,"189"
64,"199"
65,"233"
66,"188"
67,"204"
68,"199"
69,"212"
70,"179"
71,"153"
72,"179"
73,"189"
74,"188"
75,"188"
76,"184"
77,"210"
78,"168"
79,"170"
80,"187"
81,"170"
82,"179"
83,"159"
84,"182"
85,"229"
86,"258"
87,"266"
88,"277"
89,"269"
90,"237"
91,"185"
92,"167"
93,"143"
94,"154"
95,"165"
96,"157"
97,"163"
98,"149"
99,"129"
100,"138"
101,"155"
102,"153"
103,"152"
104,"129"
105,"139"
106,"123"
107,"132"
108,"148"
109,"121"
110,"135"
111,"147"
112,"136"
113,"119"
114,"142"
115,"120"
116,"136"
117,"155"
118,"150"
119,"129"
120,"132"
121,"135"
122,"136"
123,"119"
124,"122"
125,"104"
126,"132"
127,"117"
128,"113"
129,"106"
130,"119"
131,"83"
132,"116"
133,"112"
134,"107"
135,"107"
136,"108"
137,"88"
138,"95"
139,"112"
140,"135"
141,"136"
142,"132"
143,"120"
144,"137"
145,"137"
146,"125"
147,"139"
148,"144"
149,"145"
150,"152"
151,"147"
152,"128"
153,"111"
154,"91"
155,"109"
156,"90"
157,"101"
158,"86"
159,"103"
160,"70"
161,"74"
162,"99"
163,"100"
164,"111"
165,"136"
166,"158"
167,"198"
168,"190"
169,"133"
170,"104"
171,"101"
172,"84"
173,"74"
174,"64"
175,"75"
176,"52"
177,"57"
178,"59"
179,"71"
180,"76"
181,"74"
182,"67"
183,"71"
184,"73"
185,"82"
186,"89"
187,"74"
188,"61"
189,"51"
190,"60"
191,"67"
192,"46"
193,"46"
194,"54"
195,"45"
196,"44"
197,"47"
198,"54"
199,"39"
200,"51"
201,"51"
202,"44"
203,"41"
204,"43"
205,"47"
206,"42"
207,"56"
208,"41"
209,"48"
210,"52"
211,"47"
212,"36"
213,"44"
214,"39"
215,"39"
216,"38"
217,"42"
218,"42"
219,"38"
220,"49"
221,"68"
222,"76"
223,"106"
224,"130"
225,"149"
226,"174"
227,"198"
228,"185"
229,"183"
230,"162"
231,"113"
232,"91"
233,"79"
234,"62"
235,"70"
236,"58"
237,"59"
238,"49"
239,"71"
240,"49"
241,"40"
242,"69"
243,"79"
244,"66"
245,"76"
246,"84"
247,"113"
248,"83"
249,"104"
250,"90"
251,"85"
252,"84"
253,"45"
254,"53"
255,"47"
256,"44"
257,"36"
258,"43"
259,"41"
260,"48"
261,"35"
262,"51"
263,"35"
264,"41"
265,"40"
266,"46"
267,"50"
268,"39"
269,"52"
270,"56"
271,"64"
272,"85"
273,"66"
274,"74"
275,"68"
276,"54"
277,"42"
278,"51"
279,"40"
280,"38"
281,"45"
282,"34"
283,"38"
284,"32"
285,"35"
286,"34"
287,"51"
288,"36"
289,"45"
290,"44"
291,"34"
292,"46"
293,"48"
294,"57"
295,"42"
296,"49"
297,"46"
298,"62"
299,"55"
300,"50"
301,"55"
302,"48"
303,"44"
304,"60"
305,"49"
306,"58"
307,"48"
308,"40"
309,"79"
310,"66"
311,"74"
312,"94"
313,"138"
314,"219"
315,"376"
316,"700"
317,"1167"
318,"1849"
319,"2818"
320,"3925"
321,"4866"
322,"5456"
323,"5545"
324,"5101"
325,"4503"
326,"3346"
327,"2360"
328,"1488"
329,"869"
330,"505"
331,"282"
332,"131"
333,"81"
334,"53"
335,"52"
336,"28"
337,"41"
338,"34"
339,"39"
340,"55"
341,"43"
342,"40"
343,"36"
344,"70"
345,"55"
346,"72"
347,"110"
348,"162"
349,"186"
350,"269"
351,"407"
352,"510"
353,"703"
354,"825"
355,"924"
356,"941"
357,"899"
358,"833"
359,"640"
360,"489"
361,"307"
362,"226"
363,"135"
364,"85"
365,"61"
366,"54"
367,"39"
368,"36"
369,"42"
370,"48"
371,"50"
372,"65"
373,"106"
374,"152"
375,"166"
376,"179"
377,"172"
378,"187"
379,"153"
380,"137"
381,"132"
382,"69"
383,"54"
384,"38"
385,"31"
386,"32"
387,"34"
388,"26"
389,"17"
390,"29"
391,"29"
392,"21"
393,"26"
394,"26"
395,"26"
396,"34"
397,"36"
398,"37"
399,"51"
400,"57"
401,"83"
402,"132"
403,"130"
404,"132"
405,"150"
406,"146"
407,"126"
408,"143"
409,"105"
410,"88"
411,"78"
412,"63"
413,"53"
414,"53"
415,"57"
416,"57"
417,"56"
418,"52"
419,"48"
420,"46"
421,"35"
422,"50"
423,"32"
424,"33"
425,"36"
426,"57"
427,"44"
428,"73"
429,"127"
430,"148"
431,"228"
432,"300"
433,"359"
434,"391"
435,"459"
436,"448"
437,"382"
438,"336"
439,"277"
440,"206"
441,"141"
442,"98"
443,"77"
444,"81"
445,"37"
446,"42"
447,"60"
448,"42"
449,"51"
450,"62"
451,"55"
452,"35"
453,"43"
454,"39"
455,"43"
456,"39"
457,"41"
458,"41"
459,"54"
460,"43"
461,"43"
462,"40"
463,"43"
464,"52"
465,"50"
466,"54"
467,"48"
468,"67"
469,"44"
470,"46"
471,"44"
472,"53"
473,"37"
474,"49"
475,"61"
476,"49"
477,"70"
478,"77"
479,"88"
480,"90"
481,"93"
482,"109"
483,"120"
484,"110"
485,"87"
486,"95"
487,"71"
488,"77"
489,"60"
490,"69"
491,"57"
492,"59"
493,"48"
494,"58"
495,"57"
496,"48"
497,"66"
498,"52"
499,"59"
500,"61"
501,"60"
502,"42"
503,"44"
504,"58"
505,"55"
506,"54"
507,"69"
508,"51"
509,"60"
510,"63"
511,"75"
512,"65"
513,"67"
514,"67"
515,"72"
516,"68"
517,"65"
518,"75"
519,"84"
520,"73"
521,"75"
522,"97"
523,"94"
524,"82"
525,"109"
526,"94"
527,"151"
528,"162"
529,"138"
530,"170"
531,"187"
532,"175"
533,"174"
534,"155"
535,"154"
536,"126"
537,"119"
538,"89"
539,"100"
540,"106"
541,"94"
542,"106"
543,"94"
544,"77"
545,"93"
546,"102"
547,"106"
548,"94"
549,"112"
550,"121"
551,"92"
552,"97"
553,"112"
554,"94"
555,"122"
556,"99"
557,"111"
558,"109"
559,"122"
560,"122"
561,"129"
562,"117"
563,"132"
564,"125"
565,"154"
566,"137"
567,"134"
568,"139"
569,"137"
570,"134"
571,"138"
572,"114"
573,"133"
574,"141"
575,"130"
576,"134"
577,"151"
578,"129"
579,"149"
580,"149"
581,"151"
582,"134"
583,"146"
584,"155"
585,"139"
586,"172"
587,"147"
588,"169"
589,"196"
590,"175"
591,"170"
592,"196"
593,"159"
594,"172"
595,"178"
596,"164"
597,"184"
598,"161"
599,"188"
600,"177"
601,"190"
602,"186"
603,"202"
604,"169"
605,"186"
606,"188"
607,"193"
608,"181"
609,"169"
610,"208"
611,"198"
612,"194"
613,"223"
614,"196"
615,"178"
616,"231"
617,"200"
618,"200"
619,"211"
620,"198"
621,"235"
622,"239"
623,"202"
624,"236"
625,"237"
626,"199"
627,"209"
628,"228"
629,"232"
630,"228"
631,"225"
632,"216"
633,"259"
634,"229"
635,"227"
636,"250"
637,"279"
638,"246"
639,"250"
640,"266"
641,"245"
642,"219"
643,"264"
644,"270"
645,"261"
646,"257"
647,"293"
648,"290"
649,"261"
650,"266"
651,"272"
652,"274"
653,"285"
654,"271"
655,"305"
656,"279"
657,"281"
658,"298"
659,"317"
660,"328"
661,"285"
662,"292"
663,"308"
664,"296"
665,"329"
666,"334"
667,"386"
668,"397"
669,"410"
670,"434"
671,"484"
672,"524"
673,"506"
674,"585"
675,"530"
676,"554"
677,"533"
678,"523"
679,"523"
680,"460"
681,"433"
682,"454"
683,"437"
684,"457"
685,"382"
686,"441"
687,"410"
688,"439"
689,"395"
690,"387"
691,"419"
692,"420"
693,"412"
694,"415"
695,"390"
696,"374"
697,"365"
698,"375"
699,"389"
700,"381"
701,"357"
702,"399"
703,"438"
704,"413"
705,"440"
706,"508"
707,"431"
708,"518"
709,"548"
710,"609"
711,"648"
712,"600"
713,"615"
714,"625"
715,"619"
716,"634"
717,"564"
718,"547"
719,"512"
720,"525"
721,"459"
722,"446"
723,"468"
724,"475"
725,"421"
726,"446"
727,"426"
728,"408"
729,"400"
730,"392"
731,"416"
732,"361"
733,"404"
734,"446"
735,"420"
736,"421"
737,"440"
738,"413"
739,"407"
740,"461"
741,"429"
742,"440"
743,"453"
744,"441"
745,"463"
746,"479"
747,"539"
748,"483"
749,"558"
750,"567"
751,"585"
752,"611"
753,"627"
754,"651"
755,"643"
756,"568"
757,"592"
758,"545"
759,"547"
760,"544"
761,"530"
762,"489"
763,"498"
764,"501"
765,"489"
766,"490"
767,"479"
768,"462"
769,"489"
770,"489"
771,"472"
772,"468"
773,"480"
774,"457"
775,"511"
776,"452"
777,"494"
778,"467"
779,"521"
780,"510"
781,"503"
782,"527"
783,"512"
784,"536"
785,"555"
786,"592"
787,"629"
788,"642"
789,"679"
790,"662"
791,"685"
792,"736"
793,"787"
794,"796"
795,"784"
796,"739"
797,"773"
798,"797"
799,"738"
800,"716"
801,"675"
802,"613"
803,"624"
804,"574"
805,"555"
806,"579"
807,"569"
808,"554"
809,"525"
810,"552"
811,"533"
812,"517"
813,"522"
814,"529"
815,"554"
816,"567"
817,"561"
818,"559"
819,"545"
820,"591"
821,"601"
822,"523"
823,"567"
824,"562"
825,"558"
826,"537"
827,"582"
828,"603"
829,"600"
830,"608"
831,"569"
832,"551"
833,"592"
834,"608"
835,"613"
836,"621"
837,"599"
838,"620"
839,"599"
840,"630"
841,"602"
842,"620"
843,"596"
844,"601"
845,"605"
846,"623"
847,"608"
848,"626"
849,"622"
850,"641"
851,"636"
852,"608"
853,"595"
854,"609"
855,"640"
856,"622"
857,"640"
858,"636"
859,"616"
860,"611"
861,"620"
862,"607"
863,"691"
864,"642"
865,"658"
866,"705"
867,"710"
868,"683"
869,"756"
870,"753"
871,"757"
872,"813"
873,"828"
874,"933"
875,"891"
876,"946"
877,"978"
878,"1010"
879,"1129"
880,"1096"
881,"1095"
882,"1048"
883,"987"
884,"1042"
885,"955"
886,"944"
887,"864"
888,"845"
889,"852"
890,"812"
891,"790"
892,"758"
893,"771"
894,"745"
895,"742"
896,"753"
897,"756"
898,"714"
899,"801"
900,"724"
901,"733"
902,"780"
903,"735"
904,"781"
905,"776"
906,"795"
907,"812"
908,"800"
909,"819"
910,"808"
911,"849"
912,"807"
913,"832"
914,"832"
915,"840"
916,"897"
917,"828"
918,"856"
919,"895"
920,"852"
921,"951"
922,"995"
923,"978"
924,"993"
925,"1034"
926,"1054"
927,"1028"
928,"1065"
929,"1143"
930,"1143"
931,"1178"
932,"1270"
933,"1251"
934,"1358"
935,"1337"
936,"1526"
937,"1464"
938,"1536"
939,"1565"
940,"1750"
941,"1805"
942,"1836"
943,"1933"
944,"1959"
945,"2087"
946,"2178"
947,"2227"
948,"2329"
949,"2446"
950,"2465"
951,"2494"
952,"2626"
953,"2713"
954,"2784"
955,"2766"
956,"2794"
957,"2833"
958,"2876"
959,"2869"
960,"2761"
961,"2838"
962,"2737"
963,"2755"
964,"2667"
965,"2655"
966,"2619"
967,"2504"
968,"2356"
969,"2374"
970,"2195"
971,"2107"
972,"2112"
973,"2009"
974,"1983"
975,"1770"
976,"1755"
977,"1692"
978,"1626"
979,"1543"
980,"1416"
981,"1474"
982,"1387"
983,"1369"
984,"1313"
985,"1259"
986,"1227"
987,"1163"
988,"1080"
989,"1129"
990,"1095"
991,"1067"
992,"1049"
993,"1042"
994,"1016"
995,"920"
996,"954"
997,"898"
998,"895"
999,"924"
1000,"860"
1001,"813"
1002,"871"
1003,"898"
1004,"873"
1005,"993"
1006,"1072"
1007,"1155"
1008,"1158"
1009,"1278"
1010,"1429"
1011,"1396"
1012,"1567"
1013,"1701"
1014,"1750"
1015,"1882"
1016,"1870"
1017,"1806"
1018,"1874"
1019,"1894"
1020,"1776"
1021,"1732"
1022,"1598"
1023,"1464"
1024,"1438"
1025,"1276"
1026,"1163"
1027,"1059"
1028,"940"
1029,"856"
1030,"866"
1031,"839"
1032,"735"
1033,"780"
1034,"728"
1035,"749"
1036,"709"
1037,"752"
1038,"787"
1039,"789"
1040,"753"
1041,"765"
1042,"719"
1043,"770"
1044,"769"
1045,"773"
1046,"799"
1047,"856"
1048,"839"
1049,"883"
1050,"922"
1051,"816"
1052,"946"
1053,"984"
1054,"1052"
1055,"1080"
1056,"1149"
1057,"1190"
1058,"1307"
1059,"1311"
1060,"1369"
1061,"1403"
1062,"1450"
1063,"1538"
1064,"1608"
1065,"1666"
1066,"1703"
1067,"1692"
1068,"1610"
1069,"1600"
1070,"1555"
1071,"1537"
1072,"1530"
1073,"1419"
1074,"1355"
1075,"1222"
1076,"1273"
1077,"1157"
1078,"1072"
1079,"1106"
1080,"1035"
1081,"985"
1082,"1000"
1083,"1037"
1084,"964"
1085,"925"
1086,"908"
1087,"899"
1088,"887"
1089,"902"
1090,"893"
1091,"886"
1092,"842"
1093,"790"
1094,"886"
1095,"782"
1096,"802"
1097,"780"
1098,"799"
1099,"745"
1100,"751"
1101,"785"
1102,"740"
1103,"728"
1104,"715"
1105,"696"
1106,"745"
1107,"674"
1108,"679"
1109,"718"
1110,"686"
1111,"697"
1112,"653"
1113,"660"
1114,"625"
1115,"649"
1116,"646"
1117,"640"
1118,"657"
1119,"630"
1120,"604"
1121,"639"
1122,"594"
1123,"637"
1124,"599"
1125,"579"
1126,"561"
1127,"626"
1128,"632"
1129,"600"
1130,"608"
1131,"559"
1132,"622"
1133,"595"
1134,"609"
1135,"641"
1136,"599"
1137,"664"
1138,"673"
1139,"723"
1140,"729"
1141,"691"
1142,"717"
1143,"734"
1144,"729"
1145,"780"
1146,"785"
1147,"736"
1148,"749"
1149,"695"
1150,"706"
1151,"708"
1152,"634"
1153,"636"
1154,"645"
1155,"642"
1156,"661"
1157,"546"
1158,"606"
1159,"572"
1160,"610"
1161,"600"
1162,"534"
1163,"582"
1164,"592"
1165,"598"
1166,"585"
1167,"580"
1168,"569"
1169,"569"
1170,"549"
1171,"528"
1172,"581"
1173,"564"
1174,"565"
1175,"542"
1176,"562"
1177,"582"
1178,"530"
1179,"595"
1180,"517"
1181,"549"
1182,"543"
1183,"530"
1184,"554"
1185,"557"
1186,"561"
1187,"551"
1188,"563"
1189,"541"
1190,"559"
1191,"560"
1192,"567"
1193,"537"
1194,"579"
1195,"576"
1196,"604"
1197,"616"
1198,"614"
1199,"596"
1200,"633"
1201,"668"
1202,"644"
1203,"610"
1204,"631"
1205,"593"
1206,"594"
1207,"573"
1208,"592"
1209,"541"
1210,"560"
1211,"556"
1212,"528"
1213,"541"
1214,"501"
1215,"515"
1216,"539"
1217,"536"
1218,"542"
1219,"482"
1220,"481"
1221,"506"
1222,"538"
1223,"554"
1224,"498"
1225,"493"
1226,"567"
1227,"461"
1228,"494"
1229,"545"
1230,"489"
1231,"558"
1232,"501"
1233,"468"
1234,"524"
1235,"483"
1236,"521"
1237,"520"
1238,"455"
1239,"498"
1240,"526"
1241,"539"
1242,"487"
1243,"483"
1244,"493"
1245,"486"
1246,"475"
1247,"471"
1248,"494"
1249,"469"
1250,"460"
1251,"477"
1252,"464"
1253,"487"
1254,"467"
1255,"497"
1256,"436"
1257,"500"
1258,"502"
1259,"464"
1260,"469"
1261,"457"
1262,"480"
1263,"492"
1264,"482"
1265,"488"
1266,"482"
1267,"456"
1268,"488"
1269,"487"
1270,"507"
1271,"473"
1272,"482"
1273,"436"
1274,"480"
1275,"487"
1276,"432"
1277,"470"
1278,"467"
1279,"441"
1280,"463"
1281,"485"
1282,"453"
1283,"472"
1284,"455"
1285,"461"
1286,"457"
1287,"421"
1288,"461"
1289,"491"
1290,"478"
1291,"458"
1292,"484"
1293,"446"
1294,"419"
1295,"435"
1296,"475"
1297,"422"
1298,"464"
1299,"436"
1300,"438"
1301,"441"
1302,"472"
1303,"442"
1304,"495"
1305,"422"
1306,"424"
1307,"437"
1308,"449"
1309,"455"
1310,"435"
1311,"434"
1312,"442"
1313,"458"
1314,"438"
1315,"432"
1316,"444"
1317,"446"
1318,"436"
1319,"417"
1320,"422"
1321,"414"
1322,"407"
1323,"448"
1324,"469"
1325,"461"
1326,"399"
1327,"457"
1328,"456"
1329,"425"
1330,"428"
1331,"429"
1332,"424"
1333,"408"
1334,"408"
1335,"399"
1336,"431"
