Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40SARM-41-IVSD-TR"
Duration Time,60.009
Ambient Temperature,"103.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"852236"
Raw Accumulated Counts,"887366"
Valid Count Last Packet,"13367"
Raw Count Last Packet,"13975"
Live Time,57.954975
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8382
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"2063"
1,"1574"
2,"901"
3,"500"
4,"202"
5,"38"
6,"9"
7,"0"
8,"0"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"1"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"6"
32,"58"
33,"133"
34,"188"
35,"238"
36,"237"
37,"253"
38,"250"
39,"244"
40,"237"
41,"227"
42,"228"
43,"251"
44,"246"
45,"245"
46,"255"
47,"232"
48,"263"
49,"219"
50,"220"
51,"231"
52,"197"
53,"210"
54,"237"
55,"203"
56,"221"
57,"222"
58,"210"
59,"215"
60,"242"
61,"204"
62,"214"
63,"206"
64,"212"
65,"216"
66,"207"
67,"171"
68,"202"
69,"200"
70,"206"
71,"207"
72,"176"
73,"175"
74,"164"
75,"187"
76,"180"
77,"165"
78,"180"
79,"144"
80,"161"
81,"174"
82,"160"
83,"190"
84,"196"
85,"200"
86,"222"
87,"214"
88,"237"
89,"230"
90,"195"
91,"177"
92,"159"
93,"150"
94,"162"
95,"152"
96,"134"
97,"160"
98,"149"
99,"146"
100,"162"
101,"165"
102,"150"
103,"159"
104,"155"
105,"149"
106,"133"
107,"160"
108,"146"
109,"131"
110,"135"
111,"135"
112,"120"
113,"142"
114,"115"
115,"123"
116,"139"
117,"127"
118,"135"
119,"124"
120,"95"
121,"120"
122,"101"
123,"101"
124,"99"
125,"104"
126,"111"
127,"95"
128,"118"
129,"125"
130,"116"
131,"144"
132,"112"
133,"108"
134,"114"
135,"107"
136,"91"
137,"90"
138,"85"
139,"114"
140,"134"
141,"148"
142,"115"
143,"136"
144,"132"
145,"131"
146,"156"
147,"126"
148,"127"
149,"143"
150,"141"
151,"151"
152,"147"
153,"104"
154,"103"
155,"104"
156,"81"
157,"91"
158,"88"
159,"72"
160,"91"
161,"112"
162,"100"
163,"131"
164,"187"
165,"212"
166,"233"
167,"248"
168,"232"
169,"178"
170,"149"
171,"127"
172,"96"
173,"71"
174,"79"
175,"67"
176,"77"
177,"85"
178,"71"
179,"107"
180,"117"
181,"123"
182,"179"
183,"233"
184,"276"
185,"343"
186,"375"
187,"356"
188,"292"
189,"224"
190,"178"
191,"118"
192,"79"
193,"77"
194,"54"
195,"58"
196,"41"
197,"67"
198,"67"
199,"73"
200,"99"
201,"75"
202,"103"
203,"96"
204,"97"
205,"88"
206,"61"
207,"66"
208,"57"
209,"53"
210,"56"
211,"58"
212,"37"
213,"34"
214,"50"
215,"40"
216,"42"
217,"44"
218,"47"
219,"58"
220,"63"
221,"85"
222,"126"
223,"160"
224,"240"
225,"317"
226,"356"
227,"391"
228,"401"
229,"354"
230,"289"
231,"224"
232,"149"
233,"143"
234,"150"
235,"109"
236,"85"
237,"101"
238,"65"
239,"80"
240,"80"
241,"51"
242,"89"
243,"77"
244,"93"
245,"95"
246,"122"
247,"126"
248,"128"
249,"121"
250,"118"
251,"112"
252,"85"
253,"92"
254,"73"
255,"73"
256,"47"
257,"58"
258,"56"
259,"53"
260,"51"
261,"54"
262,"62"
263,"52"
264,"59"
265,"63"
266,"57"
267,"68"
268,"72"
269,"70"
270,"70"
271,"79"
272,"86"
273,"82"
274,"94"
275,"69"
276,"85"
277,"87"
278,"59"
279,"65"
280,"63"
281,"64"
282,"59"
283,"53"
284,"54"
285,"45"
286,"69"
287,"60"
288,"48"
289,"56"
290,"88"
291,"80"
292,"101"
293,"144"
294,"177"
295,"198"
296,"211"
297,"213"
298,"213"
299,"229"
300,"187"
301,"169"
302,"156"
303,"128"
304,"100"
305,"79"
306,"88"
307,"104"
308,"111"
309,"118"
310,"129"
311,"171"
312,"202"
313,"348"
314,"558"
315,"1087"
316,"1997"
317,"3453"
318,"5625"
319,"8376"
320,"11033"
321,"13899"
322,"15600"
323,"16252"
324,"15022"
325,"12746"
326,"9803"
327,"6946"
328,"4447"
329,"2634"
330,"1438"
331,"696"
332,"355"
333,"168"
334,"122"
335,"82"
336,"87"
337,"69"
338,"74"
339,"82"
340,"77"
341,"80"
342,"86"
343,"97"
344,"120"
345,"144"
346,"156"
347,"211"
348,"317"
349,"462"
350,"740"
351,"1044"
352,"1511"
353,"2005"
354,"2386"
355,"2702"
356,"2797"
357,"2621"
358,"2222"
359,"1768"
360,"1330"
361,"893"
362,"575"
363,"337"
364,"199"
365,"114"
366,"60"
367,"38"
368,"37"
369,"39"
370,"49"
371,"60"
372,"78"
373,"90"
374,"97"
375,"114"
376,"125"
377,"131"
378,"145"
379,"128"
380,"104"
381,"64"
382,"64"
383,"51"
384,"48"
385,"37"
386,"33"
387,"32"
388,"15"
389,"28"
390,"34"
391,"26"
392,"24"
393,"29"
394,"29"
395,"33"
396,"30"
397,"46"
398,"56"
399,"61"
400,"66"
401,"79"
402,"96"
403,"125"
404,"158"
405,"155"
406,"174"
407,"144"
408,"125"
409,"120"
410,"92"
411,"97"
412,"55"
413,"55"
414,"51"
415,"40"
416,"54"
417,"51"
418,"44"
419,"46"
420,"40"
421,"43"
422,"34"
423,"27"
424,"38"
425,"26"
426,"42"
427,"37"
428,"47"
429,"52"
430,"68"
431,"97"
432,"126"
433,"144"
434,"185"
435,"178"
436,"191"
437,"197"
438,"137"
439,"150"
440,"109"
441,"67"
442,"88"
443,"49"
444,"57"
445,"63"
446,"56"
447,"51"
448,"54"
449,"49"
450,"46"
451,"52"
452,"62"
453,"48"
454,"42"
455,"38"
456,"37"
457,"43"
458,"47"
459,"40"
460,"41"
461,"55"
462,"59"
463,"79"
464,"82"
465,"92"
466,"75"
467,"82"
468,"58"
469,"88"
470,"60"
471,"68"
472,"65"
473,"51"
474,"34"
475,"38"
476,"40"
477,"54"
478,"45"
479,"43"
480,"64"
481,"83"
482,"68"
483,"70"
484,"72"
485,"48"
486,"52"
487,"56"
488,"44"
489,"51"
490,"68"
491,"43"
492,"52"
493,"54"
494,"48"
495,"50"
496,"55"
497,"63"
498,"60"
499,"47"
500,"55"
501,"63"
502,"76"
503,"60"
504,"51"
505,"68"
506,"60"
507,"52"
508,"50"
509,"63"
510,"64"
511,"53"
512,"62"
513,"57"
514,"65"
515,"79"
516,"71"
517,"66"
518,"76"
519,"86"
520,"92"
521,"77"
522,"74"
523,"87"
524,"87"
525,"111"
526,"129"
527,"125"
528,"154"
529,"156"
530,"181"
531,"190"
532,"178"
533,"176"
534,"156"
535,"183"
536,"125"
537,"156"
538,"113"
539,"100"
540,"86"
541,"99"
542,"90"
543,"75"
544,"99"
545,"98"
546,"82"
547,"95"
548,"88"
549,"97"
550,"93"
551,"95"
552,"94"
553,"84"
554,"90"
555,"83"
556,"94"
557,"115"
558,"113"
559,"121"
560,"120"
561,"117"
562,"133"
563,"110"
564,"123"
565,"129"
566,"110"
567,"133"
568,"112"
569,"123"
570,"133"
571,"109"
572,"131"
573,"130"
574,"130"
575,"119"
576,"142"
577,"130"
578,"116"
579,"140"
580,"137"
581,"139"
582,"128"
583,"151"
584,"125"
585,"143"
586,"146"
587,"154"
588,"154"
589,"151"
590,"160"
591,"172"
592,"167"
593,"180"
594,"166"
595,"164"
596,"155"
597,"148"
598,"141"
599,"172"
600,"164"
601,"163"
602,"171"
603,"175"
604,"193"
605,"170"
606,"159"
607,"141"
608,"186"
609,"172"
610,"183"
611,"173"
612,"201"
613,"203"
614,"178"
615,"159"
616,"205"
617,"198"
618,"187"
619,"170"
620,"210"
621,"192"
622,"192"
623,"191"
624,"207"
625,"208"
626,"200"
627,"188"
628,"228"
629,"229"
630,"214"
631,"230"
632,"222"
633,"232"
634,"231"
635,"229"
636,"230"
637,"227"
638,"258"
639,"258"
640,"266"
641,"227"
642,"250"
643,"218"
644,"239"
645,"253"
646,"247"
647,"267"
648,"262"
649,"300"
650,"233"
651,"292"
652,"289"
653,"263"
654,"280"
655,"271"
656,"288"
657,"303"
658,"305"
659,"274"
660,"272"
661,"259"
662,"294"
663,"292"
664,"308"
665,"322"
666,"330"
667,"350"
668,"390"
669,"414"
670,"490"
671,"498"
672,"549"
673,"612"
674,"575"
675,"584"
676,"582"
677,"576"
678,"532"
679,"520"
680,"429"
681,"424"
682,"395"
683,"372"
684,"364"
685,"354"
686,"302"
687,"291"
688,"314"
689,"352"
690,"322"
691,"340"
692,"340"
693,"351"
694,"318"
695,"334"
696,"315"
697,"329"
698,"358"
699,"338"
700,"327"
701,"325"
702,"334"
703,"381"
704,"375"
705,"443"
706,"464"
707,"438"
708,"528"
709,"527"
710,"560"
711,"634"
712,"668"
713,"681"
714,"667"
715,"656"
716,"628"
717,"594"
718,"550"
719,"530"
720,"495"
721,"424"
722,"426"
723,"406"
724,"416"
725,"449"
726,"343"
727,"416"
728,"386"
729,"366"
730,"358"
731,"398"
732,"395"
733,"349"
734,"386"
735,"416"
736,"421"
737,"363"
738,"394"
739,"387"
740,"415"
741,"395"
742,"400"
743,"412"
744,"366"
745,"439"
746,"489"
747,"478"
748,"475"
749,"517"
750,"540"
751,"579"
752,"570"
753,"600"
754,"589"
755,"578"
756,"518"
757,"576"
758,"573"
759,"516"
760,"530"
761,"513"
762,"474"
763,"471"
764,"443"
765,"436"
766,"493"
767,"419"
768,"447"
769,"456"
770,"451"
771,"480"
772,"460"
773,"455"
774,"464"
775,"449"
776,"428"
777,"488"
778,"401"
779,"482"
780,"484"
781,"494"
782,"508"
783,"521"
784,"497"
785,"592"
786,"704"
787,"798"
788,"777"
789,"914"
790,"1032"
791,"1146"
792,"1135"
793,"1313"
794,"1253"
795,"1303"
796,"1286"
797,"1225"
798,"1149"
799,"1031"
800,"916"
801,"843"
802,"816"
803,"704"
804,"632"
805,"593"
806,"558"
807,"558"
808,"573"
809,"468"
810,"526"
811,"538"
812,"543"
813,"558"
814,"520"
815,"548"
816,"481"
817,"518"
818,"536"
819,"532"
820,"487"
821,"515"
822,"556"
823,"530"
824,"508"
825,"529"
826,"530"
827,"569"
828,"533"
829,"565"
830,"574"
831,"565"
832,"538"
833,"569"
834,"589"
835,"577"
836,"562"
837,"594"
838,"583"
839,"544"
840,"544"
841,"616"
842,"582"
843,"593"
844,"609"
845,"577"
846,"597"
847,"539"
848,"571"
849,"599"
850,"611"
851,"526"
852,"598"
853,"546"
854,"625"
855,"568"
856,"584"
857,"569"
858,"557"
859,"573"
860,"604"
861,"551"
862,"598"
863,"605"
864,"587"
865,"538"
866,"612"
867,"564"
868,"637"
869,"604"
870,"649"
871,"620"
872,"573"
873,"628"
874,"633"
875,"688"
876,"640"
877,"624"
878,"654"
879,"649"
880,"631"
881,"681"
882,"647"
883,"667"
884,"684"
885,"689"
886,"765"
887,"782"
888,"766"
889,"794"
890,"785"
891,"799"
892,"781"
893,"831"
894,"768"
895,"769"
896,"820"
897,"803"
898,"749"
899,"756"
900,"758"
901,"746"
902,"755"
903,"774"
904,"727"
905,"783"
906,"725"
907,"832"
908,"815"
909,"771"
910,"780"
911,"792"
912,"788"
913,"866"
914,"807"
915,"811"
916,"854"
917,"863"
918,"876"
919,"903"
920,"892"
921,"889"
922,"968"
923,"931"
924,"938"
925,"985"
926,"1029"
927,"1077"
928,"1117"
929,"1079"
930,"1127"
931,"1172"
932,"1200"
933,"1255"
934,"1287"
935,"1358"
936,"1410"
937,"1486"
938,"1595"
939,"1661"
940,"1678"
941,"1774"
942,"1852"
943,"1964"
944,"1973"
945,"2111"
946,"2133"
947,"2238"
948,"2282"
949,"2378"
950,"2572"
951,"2593"
952,"2656"
953,"2713"
954,"2658"
955,"2790"
956,"2753"
957,"2897"
958,"2899"
959,"2906"
960,"2747"
961,"2807"
962,"2768"
963,"2669"
964,"2656"
965,"2549"
966,"2507"
967,"2463"
968,"2369"
969,"2295"
970,"2222"
971,"2132"
972,"1955"
973,"1870"
974,"1787"
975,"1832"
976,"1652"
977,"1666"
978,"1562"
979,"1527"
980,"1483"
981,"1312"
982,"1326"
983,"1257"
984,"1182"
985,"1167"
986,"1113"
987,"1128"
988,"1049"
989,"1042"
