Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40SDO-1-IVSD-TR"
Duration Time,60.007
Ambient Temperature,"104.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"948590"
Raw Accumulated Counts,"990822"
Valid Count Last Packet,"14889"
Raw Count Last Packet,"15604"
Live Time,57.717003
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8371
Number of Channels,2048
Vacuum,632
Channel#,Intensity
0,"1996"
1,"1558"
2,"949"
3,"510"
4,"178"
5,"32"
6,"4"
7,"2"
8,"2"
9,"0"
10,"0"
11,"1"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"9"
32,"47"
33,"131"
34,"193"
35,"208"
36,"259"
37,"224"
38,"236"
39,"255"
40,"213"
41,"261"
42,"223"
43,"229"
44,"230"
45,"243"
46,"217"
47,"220"
48,"199"
49,"196"
50,"217"
51,"214"
52,"197"
53,"217"
54,"216"
55,"200"
56,"193"
57,"185"
58,"217"
59,"207"
60,"203"
61,"212"
62,"183"
63,"206"
64,"190"
65,"211"
66,"185"
67,"181"
68,"200"
69,"163"
70,"178"
71,"166"
72,"164"
73,"160"
74,"183"
75,"188"
76,"174"
77,"166"
78,"181"
79,"200"
80,"158"
81,"181"
82,"189"
83,"164"
84,"189"
85,"184"
86,"205"
87,"196"
88,"232"
89,"200"
90,"173"
91,"177"
92,"164"
93,"145"
94,"142"
95,"164"
96,"147"
97,"149"
98,"142"
99,"162"
100,"136"
101,"145"
102,"158"
103,"142"
104,"141"
105,"143"
106,"140"
107,"142"
108,"140"
109,"118"
110,"145"
111,"138"
112,"139"
113,"164"
114,"186"
115,"208"
116,"185"
117,"218"
118,"183"
119,"170"
120,"133"
121,"136"
122,"113"
123,"120"
124,"121"
125,"124"
126,"112"
127,"118"
128,"106"
129,"101"
130,"125"
131,"117"
132,"108"
133,"113"
134,"127"
135,"139"
136,"124"
137,"102"
138,"115"
139,"101"
140,"118"
141,"143"
142,"152"
143,"136"
144,"141"
145,"165"
146,"144"
147,"178"
148,"177"
149,"155"
150,"142"
151,"138"
152,"140"
153,"112"
154,"117"
155,"121"
156,"93"
157,"91"
158,"94"
159,"115"
160,"81"
161,"129"
162,"146"
163,"218"
164,"316"
165,"385"
166,"500"
167,"441"
168,"446"
169,"387"
170,"302"
171,"207"
172,"151"
173,"109"
174,"86"
175,"77"
176,"97"
177,"80"
178,"104"
179,"108"
180,"162"
181,"172"
182,"193"
183,"231"
184,"217"
185,"252"
186,"291"
187,"248"
188,"205"
189,"183"
190,"138"
191,"104"
192,"71"
193,"73"
194,"48"
195,"64"
196,"68"
197,"66"
198,"60"
199,"85"
200,"73"
201,"87"
202,"81"
203,"92"
204,"75"
205,"89"
206,"59"
207,"59"
208,"63"
209,"54"
210,"54"
211,"52"
212,"59"
213,"47"
214,"64"
215,"61"
216,"56"
217,"46"
218,"67"
219,"54"
220,"52"
221,"90"
222,"136"
223,"187"
224,"244"
225,"358"
226,"401"
227,"455"
228,"424"
229,"424"
230,"357"
231,"291"
232,"228"
233,"212"
234,"203"
235,"199"
236,"186"
237,"129"
238,"122"
239,"103"
240,"93"
241,"77"
242,"73"
243,"92"
244,"103"
245,"123"
246,"128"
247,"116"
248,"140"
249,"158"
250,"142"
251,"130"
252,"133"
253,"91"
254,"67"
255,"69"
256,"68"
257,"63"
258,"67"
259,"66"
260,"59"
261,"78"
262,"72"
263,"74"
264,"65"
265,"81"
266,"74"
267,"71"
268,"91"
269,"88"
270,"107"
271,"79"
272,"98"
273,"90"
274,"106"
275,"93"
276,"82"
277,"98"
278,"95"
279,"80"
280,"67"
281,"68"
282,"65"
283,"76"
284,"79"
285,"80"
286,"81"
287,"92"
288,"59"
289,"93"
290,"82"
291,"96"
292,"108"
293,"123"
294,"147"
295,"186"
296,"194"
297,"206"
298,"200"
299,"195"
300,"196"
301,"188"
302,"155"
303,"158"
304,"163"
305,"154"
306,"166"
307,"178"
308,"191"
309,"220"
310,"215"
311,"278"
312,"380"
313,"592"
314,"1049"
315,"2109"
316,"3685"
317,"6621"
318,"10838"
319,"16086"
320,"21765"
321,"26850"
322,"30514"
323,"30779"
324,"28778"
325,"24406"
326,"19045"
327,"13216"
328,"8617"
329,"5024"
330,"2738"
331,"1395"
332,"690"
333,"336"
334,"187"
335,"142"
336,"118"
337,"102"
338,"105"
339,"114"
340,"126"
341,"125"
342,"124"
343,"150"
344,"187"
345,"234"
346,"307"
347,"416"
348,"613"
349,"919"
350,"1433"
351,"2124"
352,"2881"
353,"3814"
354,"4549"
355,"5018"
356,"5184"
357,"4939"
358,"4356"
359,"3440"
360,"2499"
361,"1715"
362,"1064"
363,"620"
364,"313"
365,"207"
366,"95"
367,"68"
368,"47"
369,"35"
370,"39"
371,"47"
372,"55"
373,"60"
374,"79"
375,"83"
376,"100"
377,"100"
378,"94"
379,"77"
380,"97"
381,"57"
382,"62"
383,"50"
384,"39"
385,"19"
386,"25"
387,"31"
388,"30"
389,"29"
390,"25"
391,"22"
392,"25"
393,"32"
394,"19"
395,"33"
396,"33"
397,"47"
398,"33"
399,"42"
400,"59"
401,"71"
402,"88"
403,"121"
404,"129"
405,"135"
406,"135"
407,"140"
408,"130"
409,"112"
410,"66"
411,"63"
412,"44"
413,"42"
414,"43"
415,"45"
416,"38"
417,"46"
418,"31"
419,"47"
420,"40"
421,"30"
422,"29"
423,"32"
424,"28"
425,"32"
426,"31"
427,"30"
428,"28"
429,"56"
430,"76"
431,"63"
432,"94"
433,"92"
434,"131"
435,"139"
436,"112"
437,"113"
438,"106"
439,"86"
440,"65"
441,"58"
442,"41"
443,"41"
444,"46"
445,"47"
446,"48"
447,"44"
448,"41"
449,"43"
450,"48"
451,"57"
452,"36"
453,"43"
454,"39"
455,"37"
456,"33"
457,"31"
458,"44"
459,"42"
460,"38"
461,"38"
462,"45"
463,"46"
464,"52"
465,"52"
466,"70"
467,"61"
468,"68"
469,"65"
470,"47"
471,"46"
472,"43"
473,"29"
474,"31"
475,"48"
476,"37"
477,"33"
478,"57"
479,"57"
480,"59"
481,"45"
482,"49"
483,"56"
484,"65"
485,"57"
486,"57"
487,"54"
488,"51"
489,"45"
490,"46"
491,"39"
492,"43"
493,"44"
494,"36"
495,"47"
496,"46"
497,"38"
498,"31"
499,"44"
500,"54"
501,"53"
502,"43"
503,"52"
504,"62"
505,"52"
506,"45"
507,"55"
508,"55"
509,"45"
510,"59"
511,"66"
512,"56"
513,"75"
514,"74"
515,"50"
516,"78"
517,"62"
518,"80"
519,"75"
520,"63"
521,"84"
522,"94"
523,"94"
524,"93"
525,"128"
526,"162"
527,"166"
528,"202"
529,"251"
530,"280"
531,"308"
532,"306"
533,"234"
534,"243"
535,"207"
536,"180"
537,"161"
538,"145"
539,"115"
540,"91"
541,"90"
542,"86"
543,"76"
544,"76"
545,"98"
546,"101"
547,"112"
548,"80"
549,"86"
550,"81"
551,"98"
552,"82"
553,"85"
554,"92"
555,"94"
556,"104"
557,"78"
558,"77"
559,"100"
560,"95"
561,"93"
562,"101"
563,"109"
564,"110"
565,"101"
566,"109"
567,"95"
568,"112"
569,"107"
570,"108"
571,"103"
572,"103"
573,"116"
574,"117"
575,"125"
576,"126"
577,"127"
578,"115"
579,"116"
580,"129"
581,"114"
582,"137"
583,"120"
584,"126"
585,"144"
586,"148"
587,"155"
588,"119"
589,"139"
590,"174"
591,"150"
592,"156"
593,"163"
594,"179"
595,"160"
596,"137"
597,"170"
598,"158"
599,"166"
600,"148"
601,"145"
602,"154"
603,"156"
604,"154"
605,"139"
606,"155"
607,"154"
608,"155"
609,"149"
610,"155"
611,"158"
612,"155"
613,"166"
614,"167"
615,"188"
616,"197"
617,"188"
618,"186"
619,"181"
620,"190"
621,"208"
622,"177"
623,"156"
624,"153"
625,"182"
626,"185"
627,"176"
628,"197"
629,"178"
630,"196"
631,"176"
632,"205"
633,"224"
634,"192"
635,"229"
636,"232"
637,"204"
638,"224"
639,"240"
640,"235"
641,"181"
642,"236"
643,"221"
644,"216"
645,"238"
646,"218"
647,"222"
648,"247"
649,"232"
650,"236"
651,"230"
652,"238"
653,"245"
654,"235"
655,"255"
656,"229"
657,"213"
658,"263"
659,"223"
660,"215"
661,"232"
662,"282"
663,"258"
664,"281"
665,"306"
666,"318"
667,"379"
668,"400"
669,"482"
670,"513"
671,"597"
672,"664"
673,"706"
674,"781"
675,"808"
676,"766"
677,"678"
678,"652"
679,"644"
680,"549"
681,"468"
682,"433"
683,"434"
684,"364"
685,"362"
686,"379"
687,"321"
688,"333"
689,"347"
690,"309"
691,"297"
692,"288"
693,"311"
694,"330"
695,"300"
696,"304"
697,"254"
698,"283"
699,"286"
700,"257"
701,"281"
702,"290"
703,"320"
704,"346"
705,"398"
706,"385"
707,"448"
708,"450"
709,"546"
710,"504"
711,"571"
712,"572"
713,"609"
714,"626"
715,"645"
716,"576"
717,"553"
718,"531"
719,"488"
720,"433"
721,"382"
722,"363"
723,"342"
724,"336"
725,"344"
726,"323"
727,"316"
728,"311"
729,"339"
730,"362"
731,"317"
732,"320"
733,"334"
734,"380"
735,"313"
736,"327"
737,"331"
738,"330"
739,"345"
740,"343"
741,"326"
742,"389"
743,"354"
744,"427"
745,"441"
746,"393"
747,"471"
748,"485"
749,"459"
750,"561"
751,"543"
752,"566"
753,"580"
754,"605"
755,"599"
756,"613"
757,"522"
758,"488"
759,"503"
760,"482"
761,"457"
762,"422"
763,"413"
764,"423"
765,"388"
766,"372"
767,"397"
768,"395"
769,"388"
770,"385"
771,"409"
772,"403"
773,"401"
774,"411"
775,"382"
776,"407"
777,"393"
778,"423"
779,"421"
780,"420"
781,"402"
782,"468"
783,"444"
784,"506"
785,"501"
786,"594"
787,"649"
788,"761"
789,"829"
790,"899"
791,"970"
792,"1021"
793,"1132"
794,"1123"
795,"1139"
796,"1061"
797,"1018"
798,"935"
799,"860"
800,"846"
801,"767"
802,"646"
803,"601"
804,"509"
805,"539"
806,"476"
807,"411"
808,"454"
809,"443"
810,"467"
811,"449"
812,"446"
813,"439"
814,"469"
815,"421"
816,"447"
817,"466"
818,"458"
819,"482"
820,"440"
821,"445"
822,"448"
823,"437"
824,"461"
825,"444"
826,"475"
827,"476"
828,"487"
829,"464"
830,"525"
831,"500"
832,"516"
833,"508"
834,"551"
835,"505"
836,"492"
837,"597"
838,"562"
839,"562"
840,"517"
841,"502"
842,"485"
843,"530"
844,"527"
845,"541"
846,"528"
847,"481"
848,"512"
849,"481"
850,"491"
851,"522"
852,"496"
853,"491"
854,"486"
855,"518"
856,"472"
857,"524"
858,"466"
859,"501"
860,"512"
861,"527"
862,"552"
863,"520"
864,"539"
865,"520"
866,"578"
867,"595"
868,"585"
869,"632"
870,"721"
871,"662"
872,"740"
873,"798"
874,"804"
875,"942"
876,"942"
877,"1064"
878,"1082"
879,"1055"
880,"1099"
881,"1108"
882,"976"
883,"1021"
884,"944"
885,"960"
886,"943"
887,"945"
888,"796"
889,"766"
890,"780"
891,"788"
892,"714"
893,"726"
894,"667"
895,"638"
896,"701"
897,"683"
898,"637"
899,"640"
900,"658"
901,"658"
902,"674"
903,"677"
904,"673"
905,"673"
906,"647"
907,"650"
908,"702"
909,"675"
910,"733"
911,"691"
912,"688"
913,"740"
914,"727"
915,"689"
916,"755"
917,"761"
918,"757"
919,"767"
920,"766"
921,"793"
922,"831"
923,"809"
924,"866"
925,"910"
926,"863"
927,"891"
928,"941"
929,"971"
930,"973"
931,"1023"
932,"1100"
933,"1126"
934,"1114"
935,"1231"
936,"1302"
937,"1314"
938,"1447"
939,"1428"
940,"1355"
941,"1549"
942,"1650"
943,"1740"
944,"1835"
945,"1827"
946,"1896"
947,"1983"
948,"2022"
949,"2174"
950,"2189"
951,"2277"
952,"2271"
953,"2355"
954,"2427"
955,"2483"
956,"2569"
957,"2491"
958,"2487"
959,"2337"
960,"2465"
961,"2467"
962,"2361"
963,"2361"
964,"2267"
965,"2300"
966,"2176"
967,"2115"
968,"2102"
969,"1969"
970,"1893"
971,"1836"
972,"1761"
973,"1598"
974,"1641"
975,"1513"
976,"1538"
977,"1352"
978,"1358"
979,"1273"
980,"1341"
981,"1197"
982,"1139"
983,"1122"
984,"1120"
985,"1119"
986,"1039"
987,"991"
988,"1056"
989,"987"
990,"927"
991,"964"
992,"898"
993,"908"
994,"767"
995,"835"
996,"795"
997,"824"
998,"799"
999,"763"
1000,"777"
1001,"809"
1002,"825"
1003,"800"
1004,"796"
1005,"891"
1006,"900"
1007,"990"
1008,"1020"
1009,"1152"
1010,"1247"
1011,"1314"
1012,"1537"
1013,"1555"
1014,"1461"
1015,"1674"
1016,"1679"
1017,"1705"
1018,"1693"
1019,"1707"
1020,"1709"
1021,"1608"
1022,"1499"
1023,"1431"
1024,"1215"
1025,"1151"
1026,"1058"
1027,"998"
1028,"826"
1029,"758"
1030,"726"
1031,"702"
1032,"657"
1033,"685"
1034,"697"
1035,"653"
1036,"674"
1037,"696"
1038,"694"
1039,"623"
1040,"698"
1041,"681"
1042,"688"
1043,"697"
1044,"719"
1045,"673"
1046,"731"
1047,"742"
1048,"746"
1049,"802"
1050,"771"
1051,"850"
1052,"860"
1053,"902"
1054,"975"
1055,"973"
1056,"1008"
1057,"1125"
1058,"1129"
1059,"1228"
1060,"1219"
1061,"1343"
1062,"1405"
1063,"1406"
1064,"1458"
1065,"1515"
1066,"1553"
1067,"1453"
1068,"1507"
1069,"1432"
1070,"1453"
1071,"1435"
1072,"1354"
1073,"1281"
1074,"1185"
1075,"1091"
1076,"1101"
1077,"995"
1078,"991"
1079,"1023"
1080,"972"
1081,"961"
1082,"981"
1083,"891"
1084,"827"
1085,"851"
1086,"825"
1087,"825"
1088,"836"
1089,"817"
1090,"773"
1091,"805"
1092,"826"
1093,"705"
1094,"721"
1095,"709"
1096,"689"
1097,"721"
1098,"667"
1099,"684"
1100,"647"
1101,"656"
1102,"646"
1103,"633"
1104,"625"
1105,"646"
1106,"637"
1107,"606"
1108,"662"
1109,"604"
1110,"662"
1111,"586"
1112,"610"
1113,"569"
1114,"608"
1115,"572"
1116,"576"
1117,"606"
1118,"554"
1119,"588"
1120,"564"
1121,"585"
1122,"552"
1123,"547"
1124,"559"
1125,"546"
1126,"555"
1127,"538"
1128,"532"
1129,"538"
1130,"532"
1131,"593"
1132,"534"
1133,"544"
1134,"606"
1135,"550"
1136,"553"
1137,"571"
1138,"576"
1139,"598"
1140,"637"
1141,"662"
1142,"709"
1143,"677"
1144,"735"
1145,"704"
1146,"720"
1147,"677"
1148,"696"
1149,"662"
1150,"695"
1151,"653"
1152,"634"
1153,"589"
1154,"558"
1155,"581"
1156,"546"
1157,"520"
1158,"539"
1159,"561"
1160,"525"
1161,"501"
1162,"491"
1163,"495"
1164,"543"
1165,"566"
1166,"514"
1167,"544"
1168,"529"
1169,"518"
1170,"550"
1171,"540"
1172,"520"
1173,"563"
1174,"495"
1175,"473"
1176,"531"
1177,"466"
1178,"526"
1179,"500"
1180,"458"
1181,"489"
1182,"474"
1183,"517"
1184,"518"
1185,"491"
1186,"466"
1187,"514"
1188,"494"
1189,"462"
1190,"549"
1191,"521"
1192,"503"
1193,"507"
1194,"528"
1195,"551"
1196,"578"
1197,"567"
1198,"528"
1199,"585"
1200,"571"
1201,"548"
1202,"585"
1203,"545"
1204,"541"
1205,"533"
1206,"542"
1207,"535"
1208,"518"
1209,"498"
1210,"495"
1211,"490"
1212,"461"
1213,"443"
1214,"481"
1215,"473"
1216,"458"
1217,"443"
1218,"476"
1219,"523"
1220,"458"
1221,"501"
1222,"470"
1223,"441"
1224,"447"
1225,"514"
1226,"493"
1227,"462"
1228,"494"
1229,"477"
1230,"463"
1231,"460"
1232,"462"
1233,"454"
1234,"457"
1235,"468"
1236,"451"
1237,"463"
1238,"489"
1239,"438"
