Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"66625301 a fancy deep brownish yellow 6.74ct"
Duration Time,283.951
Ambient Temperature,"103.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"6051121"
Raw Accumulated Counts,"6420772"
Valid Count Last Packet,"19671"
Raw Count Last Packet,"20783"
Live Time,268.441956
HV DAC,182
HV ADC,40.000000
Filament DAC,191
Filament ADC,12.100000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0609
Number of Channels,2048
Vacuum,658
Channel#,Intensity
0,"8757"
1,"7242"
2,"4657"
3,"2160"
4,"796"
5,"247"
6,"60"
7,"10"
8,"5"
9,"0"
10,"6"
11,"5"
12,"2"
13,"2"
14,"1"
15,"3"
16,"0"
17,"3"
18,"2"
19,"0"
20,"2"
21,"0"
22,"0"
23,"0"
24,"0"
25,"2"
26,"1"
27,"16"
28,"130"
29,"644"
30,"1449"
31,"2073"
32,"2369"
33,"2351"
34,"2277"
35,"2215"
36,"2168"
37,"2214"
38,"2116"
39,"2123"
40,"2212"
41,"2142"
42,"2018"
43,"2112"
44,"2073"
45,"2071"
46,"2094"
47,"2059"
48,"2103"
49,"2009"
50,"1996"
51,"2065"
52,"1985"
53,"2024"
54,"2035"
55,"2000"
56,"1993"
57,"1897"
58,"1894"
59,"1920"
60,"1856"
61,"1854"
62,"1837"
63,"1866"
64,"1834"
65,"1830"
66,"1787"
67,"1718"
68,"1664"
69,"1740"
70,"1740"
71,"1742"
72,"1609"
73,"1671"
74,"1646"
75,"1556"
76,"1548"
77,"1548"
78,"1503"
79,"1583"
80,"1550"
81,"1463"
82,"1413"
83,"1429"
84,"1368"
85,"1423"
86,"1407"
87,"1372"
88,"1351"
89,"1383"
90,"1289"
91,"1339"
92,"1322"
93,"1413"
94,"1316"
95,"1322"
96,"1337"
97,"1345"
98,"1314"
99,"1292"
100,"1254"
101,"1312"
102,"1269"
103,"1249"
104,"1232"
105,"1147"
106,"1214"
107,"1174"
108,"1191"
109,"1132"
110,"1129"
111,"1188"
112,"1127"
113,"1007"
114,"1122"
115,"1069"
116,"1068"
117,"1131"
118,"1015"
119,"1016"
120,"984"
121,"1004"
122,"1010"
123,"946"
124,"926"
125,"945"
126,"924"
127,"898"
128,"911"
129,"932"
130,"907"
131,"923"
132,"888"
133,"884"
134,"818"
135,"840"
136,"835"
137,"827"
138,"822"
139,"887"
140,"942"
141,"973"
142,"1040"
143,"978"
144,"900"
145,"885"
146,"830"
147,"841"
148,"848"
149,"874"
150,"855"
151,"819"
152,"783"
153,"711"
154,"712"
155,"668"
156,"635"
157,"613"
158,"611"
159,"639"
160,"611"
161,"563"
162,"563"
163,"564"
164,"546"
165,"530"
166,"511"
167,"522"
168,"505"
169,"508"
170,"478"
171,"481"
172,"454"
173,"480"
174,"481"
175,"463"
176,"468"
177,"419"
178,"433"
179,"409"
180,"441"
181,"427"
182,"431"
183,"414"
184,"408"
185,"453"
186,"402"
187,"366"
188,"382"
189,"375"
190,"347"
191,"344"
192,"350"
193,"361"
194,"362"
195,"337"
196,"336"
